,1Greedy 0.00001,2Greedy 0.00001,3Greedy 0.00001,4Greedy 0.00001,5Greedy 0.00001,6Greedy 0.00001
194,375,300,440,475,500,770
195,370,300,440,475,500,805
196,370,300,445,480,505,810
197,370,300,445,480,510,810
198,370,300,445,485,510,810
199,370,300,445,485,510,810
200,370,300,445,485,510,810
201,365,300,445,485,510,810
202,365,335,445,520,510,810
203,365,335,445,525,515,810
204,365,335,445,525,515,810
205,370,335,450,530,520,810
206,375,335,455,535,525,815
207,375,335,455,535,525,815
208,380,335,455,540,525,815
209,380,335,455,540,530,815
210,380,370,455,540,530,815
211,415,370,490,540,530,815
212,415,370,525,540,530,815
213,415,370,525,540,530,815
214,415,370,525,540,535,815
215,415,370,525,540,535,815
216,415,370,525,540,535,815
217,420,370,525,545,535,820
218,420,370,525,545,535,820
219,420,370,525,545,570,820
220,425,370,525,550,570,825
221,425,370,525,550,570,825
222,425,370,525,550,575,825
223,425,370,525,555,580,825
224,425,370,525,560,585,825
225,425,370,525,560,585,825
226,425,370,525,560,590,825
227,425,370,525,560,590,825
228,425,370,525,560,595,825
229,425,370,525,560,595,825
230,425,370,525,565,595,825
231,460,405,525,565,595,825
232,460,405,525,565,595,825
233,460,405,525,565,600,825
234,460,405,525,565,600,825
235,460,405,525,565,600,825
236,460,405,525,565,600,825
237,460,405,525,565,600,825
238,460,405,525,565,605,825
239,495,405,520,565,605,825
240,495,405,520,565,605,825
241,495,405,520,565,605,825
242,500,405,525,570,610,830
243,500,410,525,575,615,835
244,500,410,525,575,615,835
245,500,410,525,575,620,835
246,505,415,525,580,620,840
247,505,415,525,580,620,840
248,505,415,525,580,620,840
249,540,415,525,580,620,840
250,535,415,560,580,620,840
251,540,415,560,585,625,845
252,540,415,560,590,625,845
253,540,415,560,590,625,845
254,540,415,560,590,625,845
255,540,415,560,590,625,845
256,540,415,560,590,625,880
257,540,415,560,590,625,880
258,540,415,560,590,625,880
259,540,415,560,595,625,880
260,540,415,560,595,625,880
261,540,415,560,595,625,875
262,540,415,560,595,625,910
263,540,415,560,595,625,910
264,540,415,560,595,625,910
265,540,415,560,595,625,910
266,540,415,560,595,625,905
267,540,415,560,595,625,905
268,540,415,560,595,625,905
269,540,415,560,595,625,905
270,575,415,560,595,625,905
271,575,415,595,595,625,905
272,575,415,595,595,625,905
273,580,420,600,600,630,910
274,580,420,600,600,635,910
275,580,420,600,600,635,910
276,580,420,600,600,635,910
277,615,420,600,600,635,945
278,615,420,600,600,635,945
279,615,420,600,600,635,945
280,615,420,600,600,635,945
281,615,420,600,600,640,945
282,615,420,600,600,640,945
283,615,420,600,600,640,945
284,615,420,600,600,645,945
285,615,420,600,600,645,945
286,615,420,600,600,645,945
287,615,425,605,605,650,950
288,615,425,605,605,655,950
289,615,425,605,605,655,950
290,615,425,605,605,660,950
291,615,425,605,605,660,950
292,615,425,605,610,665,950
293,615,425,605,610,665,950
294,615,425,610,610,670,950
295,615,425,610,610,670,950
296,615,425,610,610,670,950
297,615,425,610,610,670,950
298,615,425,645,610,670,950
299,620,430,645,615,675,955
300,620,435,650,620,680,960
301,620,435,650,620,680,960
302,620,435,650,620,680,960
303,620,435,650,620,685,960
304,620,435,650,620,685,960
305,620,435,650,620,690,960
306,620,435,650,620,690,960
307,620,435,650,620,690,960
308,620,435,650,620,690,960
309,620,435,650,620,690,960
310,625,440,655,625,695,965
311,625,440,655,625,695,965
312,625,440,655,625,695,965
313,630,440,655,625,695,965
314,630,440,655,625,695,965
315,630,445,660,630,700,970
316,630,445,660,630,700,970
317,630,445,660,630,700,970
318,630,445,660,630,700,970
319,630,445,660,630,700,970
320,630,445,660,630,700,970
321,630,445,660,630,700,970
322,630,445,660,630,700,970
323,630,445,660,630,700,970
324,630,445,660,635,705,970
325,635,445,665,640,710,975
326,640,450,665,645,715,980
327,640,450,665,645,715,980
328,640,450,665,645,715,980
329,640,450,665,645,715,980
330,640,450,665,645,720,980
331,640,450,665,645,720,980
332,640,450,665,645,720,980
333,645,450,670,645,725,980
334,650,450,670,645,725,980
335,655,450,675,650,730,985
336,655,450,675,650,730,985
337,655,450,675,650,730,985
338,655,450,675,650,730,985
339,660,450,680,650,735,990
340,660,450,680,650,735,990
341,665,450,685,655,740,995
342,665,450,685,655,740,995
343,700,450,685,690,740,995
344,700,450,685,690,740,995
345,700,450,685,690,740,995
346,700,450,685,695,740,995
347,700,450,685,695,740,995
348,700,450,685,695,740,995
349,700,450,690,695,740,995
350,705,450,690,700,745,1000
351,705,485,685,700,745,1000
352,705,485,685,700,745,1000
353,705,485,685,700,745,1000
354,705,485,685,700,740,1000
355,705,485,685,700,740,1000
356,705,485,685,700,740,1000
357,705,485,685,700,740,1000
358,705,485,685,700,740,1000
359,705,485,685,700,740,1000
360,705,485,685,700,740,1000
361,705,485,685,700,740,1000
362,705,485,685,700,740,1000
363,705,485,685,700,740,1000
364,705,485,685,700,740,1005
365,705,485,685,700,740,1005
366,705,485,685,700,740,1005
367,705,485,685,700,740,1005
368,705,485,685,700,740,1005
369,705,485,685,700,740,1005
370,740,485,685,700,740,1005
371,740,485,680,700,740,1005
372,740,485,680,700,740,1005
373,740,485,680,700,740,1005
374,735,485,680,700,740,1005
375,735,485,680,700,740,1005
376,730,485,680,700,775,1005
377,725,485,680,700,775,1005
378,725,485,680,700,775,1005
379,725,485,680,700,775,1005
380,725,485,680,700,775,1005
381,725,485,680,700,775,1005
382,725,485,680,700,775,1005
383,720,485,680,700,775,1005
384,720,485,680,700,775,1005
385,720,485,680,700,775,1005
386,720,485,680,700,775,1005
387,720,485,680,700,775,1005
388,720,485,680,700,775,1005
389,720,485,680,700,775,1005
390,755,485,680,700,775,1005
391,755,485,680,700,775,1005
392,755,485,680,700,775,1005
393,755,485,680,700,775,1005
394,755,485,680,700,775,1005
395,760,485,680,705,780,1005
396,760,485,680,705,780,1005
397,760,485,680,705,780,1005
398,765,485,685,710,785,1005
399,765,485,680,710,785,1005
400,765,485,680,710,785,1005
401,765,485,680,710,785,1005
402,765,485,680,710,785,1005
403,765,485,680,710,785,1005
404,765,485,680,710,785,1005
405,765,485,680,710,785,1005
406,770,485,680,715,790,1005
407,770,485,680,715,790,1005
408,770,485,680,715,790,1005
409,770,485,680,715,790,1005
410,770,490,680,720,795,1010
411,805,490,680,720,795,1010
412,805,490,680,720,795,1010
413,805,490,680,720,795,1010
414,805,490,680,720,795,1010
415,805,525,680,720,795,1010
416,805,525,680,720,795,1010
417,805,525,715,720,795,1010
418,805,525,715,720,795,1010
419,805,525,715,720,795,1010
420,805,525,715,720,795,1010
421,805,525,715,720,795,1010
422,800,525,715,720,795,1010
423,800,525,715,720,795,1010
424,800,525,715,720,795,1010
425,805,525,720,725,800,1015
426,805,525,720,725,800,1015
427,805,525,720,725,800,1015
428,805,525,720,725,800,1015
429,805,525,720,725,800,1015
430,805,525,720,725,800,1015
431,805,525,720,725,800,1015
432,805,525,720,725,800,1015
433,805,525,720,725,800,1015
434,805,525,720,725,800,1015
435,805,525,720,725,800,1015
436,805,525,720,725,800,1015
437,800,525,720,725,800,1015
438,800,525,720,725,800,1015
439,800,525,720,725,800,1015
440,800,525,720,725,800,1015
441,800,525,720,725,800,1015
442,800,525,720,725,800,1015
443,800,525,720,725,800,1015
444,800,525,720,725,800,1015
445,805,530,725,730,805,1020
446,805,530,725,730,805,1020
447,805,530,725,730,805,1020
448,805,530,725,730,805,1015
449,840,530,725,730,805,1015
450,840,530,725,730,805,1015
451,840,530,725,730,805,1015
452,840,530,725,730,805,1015
453,875,530,725,730,805,1015
454,875,530,725,730,805,1015
455,880,530,725,735,810,1020
456,880,530,725,735,810,1020
457,880,530,725,735,810,1020
458,880,530,725,735,810,1020
459,880,530,725,735,810,1020
460,880,530,725,735,810,1020
461,880,530,725,735,810,1020
462,880,530,725,735,810,1020
463,885,535,730,740,815,1025
464,885,535,730,740,815,1025
465,885,535,730,740,815,1025
466,885,535,730,740,815,1025
467,885,535,730,740,815,1025
468,885,535,730,740,850,1025
469,885,535,730,740,850,1025
470,885,535,730,740,850,1030
471,885,535,730,740,850,1030
472,920,535,730,740,850,1030
473,920,535,730,740,850,1030
474,920,535,730,740,850,1030
475,920,535,730,740,850,1030
476,920,535,730,740,850,1030
477,920,535,730,775,850,1030
478,920,535,730,775,850,1030
479,920,535,730,775,850,1030
480,920,535,730,775,850,1030
481,920,535,730,775,850,1030
482,920,535,730,775,850,1030
483,920,535,730,775,850,1030
484,920,535,730,775,850,1030
485,955,535,730,775,850,1030
486,955,535,730,775,850,1030
487,955,535,730,775,850,1030
488,955,535,730,775,850,1030
489,955,535,730,775,850,1030
490,955,535,730,775,850,1030
491,955,535,735,780,855,1030
492,955,535,735,780,855,1030
493,955,535,735,780,855,1030
494,955,535,735,780,855,1030
495,955,535,735,780,855,1030
496,955,535,735,780,855,1030
497,955,535,735,780,855,1030
498,955,535,735,780,855,1030
499,955,535,735,780,855,1030
500,990,535,735,780,855,1030
501,990,535,735,780,855,1030
502,990,535,735,780,890,1030
503,990,535,735,780,890,1030
504,990,535,735,780,890,1030
505,990,535,735,780,890,1030
506,990,535,735,780,890,1030
507,990,535,740,780,890,1030
508,990,535,740,780,890,1030
509,990,535,740,780,890,1030
510,990,535,740,780,890,1030
511,990,535,740,780,890,1030
512,990,535,740,780,890,1030
513,990,535,740,780,890,1030
514,990,535,740,780,890,1030
515,990,535,740,780,890,1030
516,990,535,740,780,890,1030
517,990,535,740,780,890,1030
518,990,535,740,780,890,1030
519,990,535,740,780,895,1035
520,1025,535,740,780,895,1035
521,1025,535,740,780,895,1035
522,1025,535,740,780,895,1035
523,1025,535,740,780,895,1035
524,1025,535,740,780,895,1035
525,1025,535,740,780,895,1035
526,1025,535,740,780,895,1035
527,1025,535,740,780,895,1035
528,1025,535,740,780,895,1035
529,1025,535,740,780,895,1035
530,1025,535,740,780,895,1035
531,1025,535,740,780,900,1035
532,1025,535,740,780,900,1035
533,1025,535,740,780,900,1035
534,1025,535,740,780,900,1035
535,1025,535,740,780,900,1035
536,1025,535,740,780,900,1035
537,1025,535,740,780,900,1035
538,1025,535,775,780,895,1035
539,1025,535,775,780,895,1035
540,1025,535,775,780,895,1035
541,1030,535,780,780,900,1040
542,1065,535,775,780,900,1040
543,1100,535,775,780,900,1040
544,1100,535,775,780,900,1035
545,1100,535,775,780,900,1035
546,1100,535,775,780,900,1035
547,1100,535,775,780,900,1035
548,1100,535,775,780,900,1030
549,1100,535,780,780,905,1030
550,1100,535,780,780,905,1030
551,1100,535,780,780,905,1030
552,1100,535,780,780,905,1030
553,1100,535,780,780,905,1030
554,1100,535,780,780,905,1030
555,1100,535,780,780,905,1030
556,1100,535,780,780,905,1030
557,1100,535,780,780,905,1030
558,1100,535,780,780,905,1030
559,1100,535,780,780,905,1030
560,1100,535,780,780,905,1030
561,1100,535,780,780,905,1030
562,1100,535,780,780,905,1030
563,1100,535,780,780,905,1030
564,1100,535,780,785,905,1035
565,1105,535,780,790,905,1035
566,1105,535,780,790,905,1035
567,1105,535,780,790,905,1035
568,1105,535,780,790,905,1035
569,1110,535,785,790,910,1035
570,1110,535,785,790,910,1035
571,1110,535,785,790,910,1035
572,1110,535,785,790,910,1035
573,1110,535,785,790,910,1035
574,1110,535,785,790,910,1035
575,1115,535,785,795,910,1040
576,1115,535,785,795,910,1040
577,1115,535,785,795,910,1040
578,1115,535,785,795,910,1040
579,1120,535,785,800,910,1040
580,1120,535,785,800,910,1040
581,1120,535,785,800,910,1040
582,1120,535,785,800,910,1040
583,1120,535,785,800,910,1040
584,1120,535,785,800,910,1040
585,1120,535,785,800,910,1040
586,1115,535,785,800,910,1040
587,1115,535,785,800,910,1040
588,1115,535,785,800,910,1040
589,1115,535,785,800,910,1040
590,1115,535,785,800,910,1040
591,1115,535,785,800,910,1040
592,1115,535,785,800,910,1040
593,1115,535,785,800,910,1040
594,1115,535,785,800,910,1040
595,1115,535,785,800,910,1040
596,1115,535,785,800,910,1040
597,1120,535,790,800,915,1045
598,1120,535,790,800,915,1045
599,1120,535,790,800,915,1045
600,1120,535,790,800,915,1045
601,1120,535,790,800,915,1045
602,1120,535,790,800,915,1080
603,1120,535,790,800,915,1080
604,1120,535,790,800,915,1080
605,1120,535,790,800,915,1080
606,1120,535,790,800,915,1080
607,1120,535,790,795,915,1080
608,1155,570,790,795,950,1080
609,1155,570,790,795,950,1080
610,1155,570,790,795,950,1080
611,1160,570,790,800,950,1085
612,1160,570,790,800,950,1085
613,1195,605,790,800,950,1120
614,1195,605,790,800,945,1120
615,1195,605,790,800,945,1120
616,1195,605,790,800,945,1120
617,1195,605,790,800,945,1120
618,1195,605,790,800,945,1120
619,1195,605,790,835,945,1120
620,1195,605,790,835,945,1120
621,1195,605,790,835,945,1120
622,1195,605,790,835,945,1120
623,1195,605,790,835,945,1120
624,1195,605,790,840,945,1125
625,1195,605,790,875,945,1125
626,1195,605,790,875,945,1125
627,1195,605,790,875,945,1125
628,1195,605,790,875,945,1125
629,1195,605,790,875,945,1125
630,1195,610,790,875,945,1125
631,1195,610,790,875,945,1125
632,1195,610,790,875,945,1125
633,1195,610,790,875,945,1125
634,1230,610,790,875,945,1125
635,1230,610,790,875,945,1125
636,1230,610,790,875,945,1125
637,1230,610,790,875,945,1125
638,1265,610,790,875,945,1125
639,1265,610,790,875,945,1125
640,1265,610,790,875,945,1125
641,1265,610,790,875,945,1125
642,1265,610,795,875,945,1130
643,1265,610,795,875,945,1130
644,1265,610,795,875,945,1130
645,1265,610,795,875,980,1130
646,1265,610,795,875,980,1130
647,1265,610,795,875,980,1125
648,1265,610,795,875,980,1125
649,1265,610,795,875,980,1125
650,1265,610,795,875,980,1125
651,1265,610,795,875,980,1125
652,1265,610,795,875,980,1125
653,1270,610,800,880,985,1125
654,1270,610,800,880,985,1125
655,1270,610,805,885,990,1125
656,1270,610,805,885,990,1125
657,1270,610,805,885,990,1125
658,1270,610,805,885,990,1125
659,1270,610,805,885,990,1125
660,1270,610,805,885,990,1125
661,1270,610,805,885,990,1125
662,1270,610,805,885,990,1125
663,1270,610,805,885,990,1125
664,1270,610,805,885,990,1125
665,1270,610,805,885,990,1125
666,1265,610,805,885,990,1125
667,1265,610,810,885,990,1125
668,1265,610,810,885,990,1125
669,1265,610,810,885,990,1125
670,1260,610,810,885,990,1125
671,1260,610,810,885,990,1125
672,1260,610,810,885,990,1125
673,1260,610,810,885,990,1125
674,1260,610,810,885,990,1125
675,1260,610,810,885,990,1125
676,1260,610,810,885,990,1125
677,1260,610,810,885,990,1125
678,1260,610,810,885,990,1125
679,1265,610,810,890,995,1125
680,1265,610,810,890,995,1125
681,1265,610,810,890,995,1125
682,1265,615,810,890,995,1130
683,1265,615,810,890,995,1130
684,1265,615,810,890,995,1130
685,1265,615,810,890,995,1130
686,1265,615,810,890,995,1130
687,1265,615,810,890,995,1130
688,1265,615,810,890,995,1130
689,1265,615,810,890,995,1130
690,1265,615,810,890,995,1130
691,1265,615,810,890,995,1130
692,1300,615,845,925,1030,1165
693,1300,615,845,925,1030,1165
694,1300,615,845,925,1030,1165
695,1300,615,845,925,1030,1165
696,1300,615,845,925,1030,1165
697,1300,615,845,925,1030,1165
698,1300,615,845,925,1030,1165
699,1300,615,845,925,1030,1165
700,1300,615,845,925,1030,1165
701,1300,615,845,925,1030,1165
702,1300,615,845,925,1030,1165
703,1300,615,845,925,1030,1165
704,1300,615,845,925,1030,1165
