,1% Greedy,5% Greedy,BBB,Greedy
276,770,725,800,780
277,775,730,805,785
278,780,735,810,790
279,780,735,810,790
280,785,740,815,795
281,790,745,820,800
282,790,745,820,800
283,790,745,820,800
284,795,750,825,805
285,800,755,830,810
286,805,760,835,815
287,810,765,840,820
288,815,770,845,825
289,815,770,845,825
290,815,770,845,825
291,820,775,850,830
292,820,775,850,830
293,820,810,850,830
294,825,815,855,835
295,825,815,855,835
296,825,815,855,835
297,830,820,860,840
298,830,825,865,845
299,835,830,870,850
300,840,835,875,855
301,845,840,880,860
302,845,840,880,860
303,850,845,885,865
304,855,850,890,870
305,860,855,895,875
306,860,855,895,875
307,860,855,895,875
308,860,855,895,875
309,865,860,900,880
310,865,860,900,880
311,865,860,900,880
312,870,865,905,885
313,875,870,910,890
314,880,875,915,895
315,880,875,915,895
316,880,875,915,895
317,880,875,915,895
318,885,880,920,900
319,890,885,925,905
320,895,890,930,910
321,895,895,935,915
322,900,900,940,920
323,900,900,940,920
324,900,900,940,920
325,905,905,945,925
326,905,905,945,925
327,910,910,950,930
328,915,915,955,935
329,920,920,960,940
330,925,925,965,945
331,930,930,970,950
332,935,935,975,955
333,935,935,975,955
334,935,935,975,955
335,940,940,980,960
336,940,940,980,960
337,940,940,980,960
338,940,940,980,960
339,940,940,980,960
340,945,945,985,965
341,950,950,990,970
342,950,950,990,970
343,950,950,990,970
344,950,955,995,975
345,955,960,1000,980
346,960,965,1005,985
347,965,970,1010,990
348,965,970,1010,990
349,970,975,1015,995
350,975,980,1020,1000
351,975,980,1020,1000
352,975,980,1020,1000
353,975,980,1020,1000
354,980,985,1025,1005
355,980,985,1025,1005
356,980,985,1025,1005
357,985,990,1030,1010
358,985,990,1030,1010
359,990,995,1035,1015
360,990,995,1035,1015
361,990,995,1035,1015
362,990,995,1035,1015
363,995,1000,1040,1020
364,995,1000,1040,1020
365,995,1000,1040,1020
366,995,1000,1040,1020
367,995,1000,1040,1020
368,1000,1005,1045,1025
369,1000,1010,1050,1030
370,1000,1010,1050,1030
