	Steps	Greedy	1% Greedy	5% Greedy	BBB		 BBB (All Steps)
Step	1560	3280	3855	3480	870		335
Step	1570	3295	3870	3495	870		335
Step	1580	3305	3885	3500	875		335
Step	1590	3325	3905	3515	875		335
Step	1600	3340	3920	3530	875		335
Step	1610	3350	3935	3545	875		335
Step	1620	3360	3945	3550	875		335
Step	1630	3380	3955	3555	875		335
Step	1640	3390	3965	3555	875		335
Step	1650	3405	3995	3575	875		335
Step	1660	3415	4005	3580	875		335
Step	1670	3425	4020	3590	875		335
Step	1680	3435	4030	3600	875		335
Step	1690	3455	4045	3610	875		335
Step	1700	3460	4050	3620	875		335
Step	1710	3480	4075	3635	875		335
Step	1720	3495	4090	3645	910		340
Step	1730	3495	4095	3650	910		340
Step	1740	3505	4110	3660	910		375
Step	1750	3515	4110	3665	920		375
Step	1760	3525	4125	3670	920		380
Step	1770	3545	4140	3715	920		380
Step	1780	3555	4150	3725	920		380
Step	1790	3565	4165	3740	920		380
Step	1800	3580	4170	3745	920		415
Step	1810	3600	4185	3760	920		415
Step	1820	3610	4185	3795	920		420
Step	1830	3620	4190	3795	920		420
Step	1840	3625	4195	3795	920		425
Step	1850	3635	4200	3800	920		425
Step	1860	3640	4210	3800	920		425
Step	1870	3655	4210	3805	920		425
Step	1880	3665	4225	3815	920		425
Step	1890	3680	4230	3820	920		425
Step	1900	3690	4240	3835	920		425
Step	1910	3695	4240	3835	920		425
Step	1920	3700	4240	3830	920		425
Step	1930	3705	4245	3840	925		425
Step	1940	3720	4255	3850	925		425
Step	1950	3735	4255	3850	925		425
Step	1960	3745	4260	3855	925		425
Step	1970	3745	4260	3860	925		425
Step	1980	3755	4270	3870	925		430
Step	1990	3760	4275	3875	930		430
Step	2000	3765	4280	3875	930		430
Step	2010	3775	4285	3880	930		430
Step	2020	3800	4300	3895	925		430
Step	2030	3815	4305	3900	925		430
Step	2040	3820	4310	3900	925		430
Step	2050	3830	4350	3905	925		430
Step	2060	3840	4355	3910	925		430
Step	2070	3845	4360	3910	925		430
Step	2080	3855	4365	3945	925		430
Step	2090	3860	4370	3950	930		430
Step	2100	3860	4370	3950	930		430
Step	2110	3870	4380	3960	930		430
Step	2120	3890	4390	3970	930		430
Step	2130	3905	4400	3980	930		430
Step	2140	3905	4400	3980	930		430
Step	2150	3915	4410	3990	930		430
Step	2160	3940	4425	4005	930		430
Step	2170	3950	4430	4045	930		430
Step	2180	3950	4430	4045	930		430
Step	2190	3965	4435	4050	930		430
Step	2200	3970	4435	4055	930		430
Step	2210	3975	4440	4055	930		430
Step	2220	3985	4440	4055	930		430
Step	2230	3990	4445	4060	935		430
Step	2240	3995	4450	4065	935		430
Step	2250	4005	4465	4080	935		430
Step	2260	4005	4465	4080	935		430
Step	2270	4025	4475	4090	935		430
Step	2280	4045	4490	4105	935		430
Step	2290	4055	4500	4110	935		430
Step	2300	4070	4510	4120	935		430
Step	2310	4080	4515	4125	935		430
Step	2320	4090	4530	4135	935		430
Step	2330	4095	4530	4135	935		430
Step	2340	4100	4535	4145	935		430
Step	2350	4105	4535	4155	935		430
Step	2360	4115	4545	4170	935		430
Step	2370	4115	4545	4175	935		430
Step	2380	4125	4545	4180	970		430
Step	2390	4140	4560	4195	970		430
Step	2400	4160	4560	4195	970		430
Step	2410	4175	4570	4205	970		430
Step	2420	4185	4575	4215	970		430
Step	2430	4190	4575	4215	970		430
Step	2440	4190	4575	4215	970		430
Step	2450	4190	4575	4215	970		430
Step	2460	4210	4580	4255	975		430
Step	2470	4210	4580	4260	975		430
Step	2480	4220	4585	4265	975		430
Step	2490	4225	4590	4270	975		430
Step	2500	4240	4605	4285	975		430
Step	2510	4245	4610	4290	975		430
Step	2520	4245	4610	4325	975		430
Step	2530	4245	4610	4325	975		430
Step	2540	4250	4610	4335	975		430
Step	2550	4260	4615	4340	975		430
Step	2560	4265	4620	4345	975		430
Step	2570	4270	4620	4345	975		430
Step	2580	4280	4635	4360	975		430
Step	2590	4280	4635	4360	975		430
Step	2600	4280	4635	4360	975		435
Step	2610	4285	4640	4365	975		435
Step	2620	4290	4645	4370	975		435
Step	2630	4290	4645	4370	975		435
Step	2640	4290	4645	4370	980		435
Step	2650	4295	4650	4375	985		435
Step	2660	4300	4655	4380	985		435
Step	2670	4310	4660	4380	985		435
Step	2680	4315	4665	4390	985		435
Step	2690	4325	4670	4395	985		435
Step	2700	4330	4670	4400	985		435
Step	2710	4350	4695	4420	985		435
Step	2720	4355	4700	4425	985		435
Step	2730	4360	4705	4435	985		435
Step	2740	4360	4705	4435	985		435
Step	2750	4365	4710	4435	990		435
Step	2760	4370	4715	4440	990		435
Step	2770	4375	4720	4480	990		435
Step	2780	4385	4730	4490	990		435
Step	2790	4395	4740	4500	990		470
Step	2800	4405	4750	4510	990		470
Step	2810	4405	4750	4510	990		470
Step	2820	4410	4760	4515	990		470
Step	2830	4415	4765	4520	990		470
Step	2840	4415	4765	4520	990		475
Step	2850	4415	4765	4520	995		475
Step	2860	4420	4770	4520	1000		475
Step	2870	4420	4775	4520	1000		475
Step	2880	4435	4785	4530	1000		475
Step	2890	4445	4795	4540	1000		475
Step	2900	4445	4795	4540	1000		475
Step	2910	4450	4800	4545	1000		475
Step	2920	4455	4805	4550	1000		475
Step	2930	4465	4815	4560	1000		480
Step	2940	4470	4820	4565	1000		480
Step	2950	4485	4835	4580	1000		480
Step	2960	4485	4835	4580	1000		480
Step	2970	4485	4835	4580	1005		480
Step	2980	4485	4835	4580	1005		480
Step	2990	4495	4845	4590	1005		475
Step	3000	4495	4845	4590	1005		475
Step	3010	4500	4850	4595	1005		475
Step	3020	4505	4855	4600	1005		475
Step	3030	4520	4870	4615	1005		475
Step	3040	4525	4880	4625	1010		475
Step	3050	4530	4885	4630	1010		475
Step	3060	4535	4890	4635	1010		475
Step	3070	4540	4895	4640	1005		475
Step	3080	4540	4895	4640	1010		475
Step	3090	4550	4905	4680	1010		475
Step	3100	4555	4910	4680	1010		475
Step	3110	4565	4920	4690	1010		475
Step	3120	4580	4935	4705	1010		475
Step	3130	4580	4935	4705	1010		480
Step	3140	4585	4940	4710	1010		480
Step	3150	4585	4945	4710	1010		480
Step	3160	4585	4950	4715	1010		480
Step	3170	4585	4950	4750	1010		480
Step	3180	4595	4960	4760	1010		480
Step	3190	4595	4960	4760	1010		480
Step	3200	4605	4970	4770	1010		480
Step	3210	4605	4970	4770	1010		480
Step	3220	4615	4980	4780	1015		480
Step	3230	4620	4985	4785	1050		480
Step	3240	4625	4990	4790	1050		480
Step	3250	4630	4995	4795	1050		480
Step	3260	4630	4995	4795	1050		480
Step	3270	4630	5030	4795	1050		480
Step	3280	4640	5040	4800	1050		480
Step	3290	4640	5045	4805	1050		480
Step	3300	4640	5045	4805	1050		480
Step	3310	4645	5050	4810	1050		480
Step	3320	4655	5060	4855	1050		480
Step	3330	4660	5065	4895	1050		480
Step	3340	4665	5070	4900	1055		480
Step	3350	4665	5075	4910	1055		480
Step	3360	4665	5075	4910	1055		480
