,5%Greedy_1 0.00001,5%Greedy_2 0.00001,5%Greedy_3 0.00001,5%Greedy_4 0.00001
16409,12330,12195,12630,10775
16410,12365,12195,12630,10775
16411,12365,12195,12630,10775
16412,12400,12195,12630,10775
16413,12400,12200,12630,10775
16414,12395,12200,12630,10775
16415,12395,12200,12630,10775
16416,12395,12200,12630,10775
16417,12395,12195,12630,10775
16418,12395,12195,12630,10775
16419,12395,12190,12630,10775
16420,12395,12195,12630,10775
16421,12395,12195,12630,10775
16422,12395,12195,12630,10775
16423,12395,12195,12630,10810
16424,12395,12195,12630,10810
16425,12395,12195,12630,10810
16426,12395,12230,12630,10810
16427,12395,12230,12630,10810
16428,12395,12230,12630,10810
16429,12395,12230,12630,10810
16430,12395,12230,12630,10810
16431,12395,12230,12630,10810
16432,12395,12230,12630,10810
16433,12395,12230,12630,10810
16434,12395,12230,12630,10810
16435,12395,12265,12630,10810
16436,12395,12265,12630,10810
16437,12395,12265,12630,10810
16438,12395,12265,12630,10810
16439,12390,12265,12630,10810
16440,12390,12265,12630,10810
16441,12390,12265,12630,10810
16442,12390,12265,12630,10810
16443,12390,12265,12630,10810
16444,12390,12265,12630,10810
16445,12390,12265,12630,10810
16446,12390,12265,12630,10810
16447,12390,12265,12630,10810
16448,12390,12265,12630,10810
16449,12390,12265,12630,10810
16450,12390,12265,12630,10810
16451,12390,12265,12630,10810
16452,12390,12265,12630,10810
16453,12390,12265,12630,10810
16454,12390,12265,12630,10810
16455,12390,12265,12630,10810
16456,12390,12265,12630,10810
16457,12390,12265,12630,10815
16458,12390,12265,12630,10815
16459,12390,12265,12630,10815
16460,12390,12265,12630,10815
16461,12390,12265,12630,10815
16462,12390,12265,12630,10815
16463,12390,12265,12630,10815
16464,12385,12265,12630,10815
16465,12385,12265,12630,10815
16466,12385,12265,12630,10815
16467,12385,12265,12630,10815
16468,12385,12265,12630,10815
16469,12385,12265,12630,10850
16470,12390,12265,12630,10850
16471,12390,12265,12630,10850
16472,12390,12300,12630,10850
16473,12390,12300,12630,10850
16474,12390,12300,12630,10850
16475,12390,12300,12630,10850
16476,12390,12300,12630,10850
16477,12390,12300,12630,10850
16478,12390,12300,12630,10850
16479,12390,12300,12630,10850
16480,12395,12300,12630,10850
16481,12395,12300,12630,10850
16482,12390,12300,12625,10850
16483,12390,12300,12625,10850
16484,12390,12300,12625,10850
16485,12390,12300,12620,10850
16486,12390,12300,12620,10850
16487,12390,12300,12620,10850
16488,12390,12300,12620,10850
16489,12390,12300,12620,10850
16490,12390,12300,12620,10850
16491,12390,12300,12615,10850
16492,12390,12300,12615,10850
16493,12390,12300,12615,10850
16494,12390,12300,12615,10850
16495,12390,12300,12615,10850
16496,12390,12300,12615,10850
16497,12390,12335,12615,10885
16498,12395,12335,12615,10885
16499,12400,12335,12615,10885
16500,12405,12335,12615,10885
16501,12405,12335,12615,10885
16502,12405,12335,12615,10885
16503,12405,12335,12615,10885
16504,12405,12330,12615,10885
16505,12405,12330,12615,10885
16506,12405,12330,12615,10885
16507,12405,12325,12615,10885
16508,12405,12325,12615,10920
16509,12405,12325,12615,10920
16510,12405,12325,12615,10920
16511,12405,12360,12615,10920
16512,12405,12360,12615,10920
16513,12405,12360,12650,10920
16514,12405,12360,12650,10920
16515,12405,12360,12650,10920
16516,12405,12360,12650,10920
16517,12405,12360,12650,10920
16518,12405,12360,12650,10920
16519,12405,12360,12650,10920
16520,12405,12360,12650,10920
16521,12405,12360,12650,10920
16522,12405,12360,12650,10920
16523,12405,12360,12650,10920
16524,12405,12360,12650,10920
16525,12405,12360,12650,10920
16526,12405,12365,12650,10920
16527,12405,12365,12650,10920
16528,12405,12365,12650,10925
16529,12405,12365,12650,10925
16530,12405,12365,12650,10925
16531,12405,12365,12650,10925
16532,12405,12365,12650,10925
16533,12405,12365,12650,10925
16534,12405,12365,12650,10925
16535,12405,12365,12650,10920
16536,12405,12365,12650,10920
16537,12405,12365,12650,10920
16538,12405,12365,12650,10920
16539,12405,12365,12650,10920
16540,12405,12365,12650,10920
16541,12405,12365,12650,10920
16542,12405,12365,12650,10920
16543,12405,12370,12650,10920
16544,12405,12370,12650,10920
16545,12405,12370,12650,10920
16546,12405,12370,12650,10920
16547,12405,12370,12650,10920
16548,12405,12370,12650,10920
16549,12405,12370,12650,10920
16550,12400,12370,12650,10920
16551,12400,12370,12650,10920
16552,12400,12370,12650,10920
16553,12400,12370,12650,10920
16554,12400,12370,12650,10920
16555,12400,12370,12650,10920
16556,12435,12370,12650,10920
16557,12435,12365,12650,10920
16558,12470,12365,12650,10920
16559,12470,12365,12650,10920
16560,12470,12365,12650,10920
16561,12470,12365,12650,10920
16562,12470,12365,12645,10920
16563,12470,12400,12645,10920
16564,12470,12400,12645,10920
16565,12470,12400,12645,10920
16566,12505,12400,12645,10920
16567,12505,12400,12645,10920
16568,12505,12400,12645,10920
16569,12505,12400,12645,10920
16570,12505,12400,12645,10920
16571,12505,12400,12645,10920
16572,12505,12435,12645,10920
16573,12505,12435,12645,10920
16574,12505,12435,12645,10920
16575,12505,12435,12645,10920
16576,12505,12435,12645,10920
16577,12505,12435,12645,10920
16578,12505,12435,12645,10920
16579,12505,12435,12645,10920
16580,12505,12435,12645,10920
16581,12505,12435,12645,10920
16582,12505,12435,12645,10920
16583,12505,12435,12645,10920
16584,12500,12435,12645,10920
16585,12500,12435,12645,10920
16586,12500,12435,12645,10920
16587,12500,12435,12645,10920
16588,12535,12435,12645,10920
16589,12535,12435,12645,10920
16590,12535,12435,12645,10920
16591,12535,12435,12645,10920
16592,12535,12435,12645,10920
16593,12535,12435,12645,10920
16594,12535,12435,12645,10920
16595,12535,12435,12645,10920
16596,12535,12435,12645,10920
16597,12535,12435,12645,10920
16598,12535,12435,12645,10920
16599,12535,12435,12645,10955
16600,12535,12435,12645,10955
16601,12530,12435,12645,10955
16602,12530,12435,12645,10955
16603,12530,12430,12645,10955
16604,12530,12430,12645,10955
16605,12530,12430,12645,10955
16606,12530,12430,12645,10955
16607,12530,12430,12645,10955
16608,12530,12430,12645,10955
16609,12530,12430,12645,10955
16610,12530,12430,12645,10955
16611,12530,12430,12645,10955
16612,12530,12430,12645,10955
16613,12530,12430,12645,10955
16614,12530,12430,12645,10955
16615,12530,12430,12645,10955
16616,12530,12430,12645,10955
16617,12530,12430,12645,10955
16618,12530,12430,12645,10955
16619,12530,12430,12645,10955
16620,12530,12430,12645,10955
16621,12530,12430,12645,10955
16622,12530,12430,12645,10955
16623,12530,12430,12645,10955
16624,12530,12430,12645,10955
16625,12530,12430,12645,10950
16626,12530,12430,12645,10950
16627,12530,12430,12645,10950
16628,12530,12430,12645,10950
16629,12530,12430,12645,10950
16630,12530,12430,12645,10950
16631,12530,12430,12645,10950
16632,12530,12430,12645,10950
16633,12530,12430,12645,10950
16634,12530,12430,12645,10950
16635,12530,12430,12645,10950
16636,12530,12430,12645,10950
16637,12530,12430,12645,10950
16638,12530,12430,12645,10950
16639,12530,12430,12645,10950
16640,12530,12430,12645,10950
16641,12530,12430,12645,10950
16642,12530,12430,12645,10950
16643,12530,12430,12645,10950
16644,12530,12430,12645,10950
16645,12530,12430,12645,10950
16646,12530,12430,12645,10950
16647,12530,12430,12645,10945
16648,12530,12430,12645,10945
16649,12530,12430,12645,10945
16650,12530,12430,12645,10945
16651,12530,12430,12645,10945
16652,12530,12430,12645,10945
16653,12530,12430,12645,10945
16654,12530,12425,12645,10945
16655,12530,12425,12645,10945
16656,12530,12425,12645,10945
16657,12530,12425,12645,10945
16658,12530,12425,12645,10945
16659,12530,12425,12645,10945
16660,12530,12425,12645,10945
16661,12530,12425,12645,10945
16662,12530,12425,12645,10945
16663,12530,12425,12645,10940
16664,12530,12425,12645,10940
16665,12530,12425,12645,10940
16666,12530,12425,12640,10940
16667,12530,12425,12640,10940
16668,12530,12425,12640,10940
16669,12530,12425,12640,10940
16670,12530,12425,12640,10940
16671,12525,12425,12640,10940
16672,12525,12425,12640,10940
16673,12525,12425,12640,10940
16674,12525,12425,12640,10940
16675,12525,12425,12640,10940
16676,12525,12425,12675,10940
16677,12525,12430,12675,10940
16678,12525,12430,12675,10940
16679,12560,12430,12675,10940
16680,12560,12430,12675,10940
16681,12560,12430,12675,10940
16682,12560,12430,12675,10940
16683,12560,12430,12675,10940
16684,12560,12430,12675,10940
16685,12560,12430,12675,10940
16686,12560,12430,12675,10940
16687,12560,12430,12675,10940
16688,12560,12430,12675,10940
16689,12560,12430,12675,10940
16690,12560,12430,12675,10940
16691,12560,12430,12675,10940
16692,12560,12430,12675,10940
16693,12560,12430,12675,10940
16694,12560,12430,12675,10940
16695,12560,12430,12675,10940
16696,12560,12430,12670,10940
16697,12595,12430,12670,10940
16698,12595,12430,12670,10940
16699,12595,12430,12670,10940
16700,12595,12430,12670,10940
16701,12595,12430,12670,10940
16702,12595,12430,12670,10940
16703,12595,12430,12670,10940
16704,12630,12430,12670,10940
16705,12630,12430,12670,10945
16706,12630,12430,12670,10945
16707,12630,12430,12670,10945
16708,12630,12430,12670,10945
16709,12630,12430,12670,10945
16710,12630,12430,12670,10945
16711,12630,12430,12670,10945
16712,12630,12430,12670,10945
16713,12630,12430,12670,10945
16714,12630,12430,12670,10945
16715,12630,12430,12670,10945
16716,12630,12430,12670,10945
16717,12630,12430,12670,10945
16718,12630,12430,12670,10945
16719,12630,12430,12670,10945
16720,12630,12430,12670,10945
16721,12630,12425,12670,10945
16722,12630,12425,12670,10945
16723,12630,12425,12670,10945
16724,12630,12425,12670,10945
16725,12630,12425,12670,10945
16726,12630,12425,12670,10945
16727,12665,12425,12670,10945
16728,12665,12425,12670,10945
16729,12665,12425,12670,10945
16730,12665,12425,12670,10945
16731,12665,12425,12670,10945
16732,12665,12425,12670,10980
16733,12665,12425,12670,10980
16734,12665,12425,12670,10980
16735,12665,12460,12670,10980
16736,12665,12460,12670,10980
16737,12665,12460,12670,10980
16738,12665,12460,12670,10980
16739,12665,12460,12670,10980
16740,12665,12460,12670,10980
16741,12665,12460,12670,10980
16742,12665,12460,12670,10980
16743,12665,12460,12670,10980
16744,12665,12460,12670,10980
16745,12665,12460,12670,10980
16746,12665,12460,12670,10980
16747,12665,12460,12670,10980
16748,12665,12460,12670,10985
16749,12665,12460,12670,10990
16750,12665,12455,12670,10990
16751,12665,12455,12670,10990
16752,12665,12455,12670,10990
16753,12665,12460,12670,10990
16754,12665,12460,12670,10990
16755,12665,12460,12670,10990
16756,12665,12460,12670,10990
16757,12665,12460,12670,10990
16758,12665,12460,12670,10990
16759,12665,12465,12670,10990
16760,12665,12465,12670,10990
16761,12665,12465,12670,10990
16762,12665,12465,12670,10990
16763,12665,12465,12670,10990
16764,12665,12465,12670,10990
16765,12665,12465,12670,10990
16766,12665,12465,12670,10990
16767,12665,12465,12670,10990
16768,12665,12465,12670,10990
16769,12665,12465,12670,10990
16770,12665,12465,12670,10990
16771,12665,12465,12670,10990
16772,12665,12465,12670,10990
16773,12665,12465,12670,10990
16774,12665,12465,12670,10990
16775,12665,12465,12670,10990
16776,12665,12465,12670,10990
16777,12665,12465,12670,10990
16778,12665,12465,12670,10990
16779,12665,12465,12705,10990
16780,12665,12465,12705,10990
16781,12665,12465,12705,10990
16782,12665,12465,12705,10990
16783,12665,12465,12705,10990
16784,12665,12465,12705,10990
16785,12665,12465,12705,10990
16786,12665,12465,12705,10990
16787,12665,12465,12705,10990
16788,12665,12465,12705,10990
16789,12665,12465,12705,10990
16790,12665,12465,12705,10990
16791,12665,12465,12705,10990
16792,12665,12465,12705,10990
16793,12665,12465,12705,10990
16794,12665,12465,12705,10990
16795,12665,12465,12705,10990
16796,12665,12465,12705,10995
16797,12665,12465,12705,10995
16798,12665,12465,12705,10995
16799,12665,12465,12705,10995
16800,12665,12465,12705,10995
16801,12665,12460,12705,10995
16802,12665,12460,12700,10995
16803,12665,12460,12700,10995
16804,12665,12460,12700,10995
16805,12665,12460,12700,10995
16806,12665,12460,12700,11030
16807,12665,12460,12700,11030
16808,12665,12460,12700,11030
16809,12665,12460,12700,11030
16810,12665,12460,12700,11030
16811,12665,12460,12700,11030
16812,12665,12460,12700,11030
16813,12665,12460,12700,11030
16814,12665,12460,12700,11030
16815,12665,12460,12705,11030
16816,12665,12460,12705,11025
16817,12665,12460,12705,11025
16818,12665,12460,12705,11060
16819,12670,12465,12705,11060
16820,12670,12465,12705,11060
16821,12670,12465,12705,11060
16822,12670,12465,12705,11060
16823,12670,12465,12705,11060
16824,12670,12465,12705,11060
16825,12665,12465,12705,11060
16826,12665,12465,12705,11060
16827,12665,12465,12705,11060
16828,12665,12465,12705,11060
16829,12665,12465,12705,11060
16830,12665,12465,12705,11060
16831,12665,12465,12705,11060
16832,12665,12500,12705,11060
16833,12665,12500,12705,11055
16834,12660,12500,12705,11090
16835,12660,12500,12705,11090
16836,12660,12535,12705,11090
16837,12660,12535,12705,11090
16838,12660,12535,12705,11090
16839,12655,12535,12705,11085
16840,12655,12535,12705,11085
16841,12655,12535,12705,11085
16842,12655,12535,12705,11085
16843,12655,12535,12705,11085
16844,12690,12535,12705,11080
16845,12690,12535,12705,11080
16846,12690,12535,12700,11080
16847,12690,12540,12700,11080
16848,12690,12540,12700,11115
16849,12690,12540,12700,11115
16850,12690,12540,12700,11115
16851,12690,12545,12700,11115
16852,12690,12545,12700,11115
16853,12725,12545,12700,11115
16854,12725,12545,12700,11115
16855,12725,12545,12700,11115
16856,12725,12545,12700,11115
16857,12725,12545,12700,11115
16858,12725,12545,12700,11115
16859,12725,12545,12700,11115
16860,12725,12545,12700,11110
16861,12725,12545,12700,11110
16862,12725,12540,12700,11110
16863,12760,12540,12700,11110
16864,12760,12540,12700,11110
16865,12760,12535,12700,11110
16866,12760,12540,12700,11110
16867,12760,12540,12700,11110
16868,12760,12540,12700,11110
16869,12760,12540,12700,11110
16870,12795,12540,12700,11110
16871,12795,12540,12700,11110
16872,12790,12535,12700,11110
16873,12790,12535,12700,11110
16874,12790,12535,12700,11110
16875,12790,12535,12700,11110
16876,12790,12535,12700,11110
16877,12790,12535,12700,11110
16878,12790,12535,12700,11110
16879,12790,12535,12700,11110
16880,12790,12535,12700,11110
16881,12790,12535,12700,11110
16882,12790,12535,12700,11110
16883,12790,12535,12700,11110
16884,12790,12570,12700,11110
16885,12790,12570,12700,11110
16886,12790,12570,12700,11110
16887,12790,12570,12700,11110
16888,12790,12570,12700,11110
16889,12790,12570,12700,11110
16890,12790,12570,12700,11110
16891,12790,12570,12700,11110
16892,12790,12570,12700,11110
16893,12790,12570,12700,11110
16894,12790,12570,12700,11110
16895,12790,12570,12700,11110
16896,12790,12570,12700,11110
16897,12790,12570,12700,11110
16898,12790,12570,12700,11110
16899,12790,12570,12700,11110
16900,12790,12570,12700,11110
16901,12790,12570,12700,11110
16902,12790,12570,12700,11110
16903,12790,12570,12700,11110
16904,12790,12570,12700,11105
16905,12790,12570,12700,11105
16906,12790,12570,12700,11105
16907,12790,12570,12700,11105
16908,12790,12570,12700,11105
16909,12790,12570,12700,11105
16910,12790,12570,12735,11105
16911,12790,12570,12735,11105
16912,12790,12570,12735,11105
16913,12790,12570,12735,11105
16914,12790,12570,12735,11105
16915,12790,12570,12735,11105
16916,12790,12570,12735,11105
16917,12790,12570,12735,11105
16918,12790,12570,12735,11105
16919,12785,12570,12735,11105
16920,12785,12570,12735,11105
16921,12785,12570,12735,11105
16922,12785,12570,12735,11105
16923,12785,12570,12735,11105
16924,12785,12570,12735,11105
16925,12785,12570,12735,11105
16926,12780,12570,12735,11105
16927,12780,12570,12735,11105
16928,12780,12570,12770,11105
16929,12780,12570,12770,11105
16930,12780,12570,12770,11105
16931,12780,12570,12770,11105
16932,12785,12570,12770,11105
16933,12785,12570,12805,11105
16934,12785,12570,12805,11105
16935,12785,12570,12805,11105
16936,12785,12570,12805,11105
16937,12780,12570,12805,11105
16938,12780,12570,12805,11105
16939,12780,12570,12805,11105
16940,12780,12570,12810,11105
16941,12785,12570,12810,11105
16942,12785,12570,12810,11105
16943,12785,12570,12810,11105
16944,12785,12570,12810,11105
16945,12785,12570,12810,11105
16946,12785,12570,12810,11105
16947,12785,12570,12810,11105
16948,12785,12570,12810,11105
16949,12785,12570,12810,11105
16950,12785,12570,12810,11105
16951,12785,12570,12810,11105
16952,12785,12570,12810,11105
16953,12785,12570,12810,11105
16954,12785,12570,12810,11140
16955,12785,12570,12810,11140
16956,12785,12570,12810,11140
16957,12785,12570,12810,11140
16958,12785,12570,12810,11140
16959,12785,12570,12810,11140
16960,12785,12570,12810,11140
16961,12785,12570,12810,11140
16962,12785,12570,12810,11140
16963,12785,12570,12810,11140
16964,12785,12570,12810,11140
16965,12785,12570,12810,11140
16966,12785,12605,12810,11140
16967,12785,12605,12810,11140
16968,12785,12600,12810,11175
16969,12785,12600,12810,11175
16970,12785,12600,12810,11175
16971,12785,12600,12810,11175
16972,12785,12600,12810,11175
16973,12785,12600,12810,11175
16974,12785,12600,12810,11175
16975,12785,12600,12810,11175
16976,12785,12600,12810,11175
16977,12785,12600,12810,11175
16978,12785,12600,12810,11175
16979,12785,12600,12810,11175
16980,12785,12600,12810,11175
16981,12785,12600,12810,11175
16982,12785,12600,12810,11175
16983,12785,12600,12810,11175
16984,12785,12600,12810,11175
16985,12785,12600,12810,11175
16986,12785,12600,12810,11175
16987,12785,12600,12810,11175
16988,12785,12600,12810,11175
16989,12785,12600,12810,11175
16990,12785,12600,12810,11175
16991,12785,12600,12810,11175
16992,12785,12600,12810,11175
16993,12785,12595,12810,11175
16994,12785,12595,12810,11175
16995,12785,12595,12810,11175
16996,12820,12590,12810,11175
16997,12820,12590,12810,11175
16998,12820,12590,12805,11175
16999,12820,12590,12805,11175
17000,12820,12590,12805,11175
17001,12820,12590,12805,11175
17002,12820,12590,12805,11175
17003,12820,12590,12805,11175
17004,12820,12590,12805,11175
17005,12820,12590,12805,11175
17006,12820,12590,12805,11175
17007,12820,12590,12805,11175
17008,12815,12590,12805,11175
17009,12815,12590,12805,11175
17010,12815,12590,12805,11175
17011,12815,12590,12805,11175
17012,12815,12590,12805,11175
17013,12815,12590,12805,11175
17014,12815,12590,12805,11175
17015,12815,12590,12805,11175
17016,12815,12590,12805,11175
17017,12815,12590,12805,11175
17018,12815,12595,12805,11175
17019,12815,12595,12805,11175
17020,12815,12595,12805,11175
17021,12815,12595,12805,11175
17022,12810,12595,12840,11175
17023,12810,12595,12840,11175
17024,12810,12595,12835,11175
17025,12810,12595,12835,11175
17026,12810,12595,12835,11175
17027,12810,12595,12835,11175
17028,12810,12595,12835,11175
17029,12810,12595,12835,11175
17030,12810,12595,12835,11175
17031,12810,12595,12835,11210
17032,12810,12595,12835,11210
17033,12810,12595,12835,11215
17034,12810,12595,12835,11215
17035,12810,12595,12835,11215
17036,12810,12595,12835,11215
17037,12810,12595,12835,11215
17038,12810,12595,12835,11215
17039,12810,12590,12835,11215
17040,12810,12590,12835,11215
17041,12810,12585,12835,11215
17042,12810,12585,12835,11215
17043,12810,12585,12835,11220
17044,12810,12585,12835,11220
17045,12810,12585,12835,11220
17046,12810,12585,12835,11220
17047,12810,12585,12835,11220
17048,12810,12585,12835,11225
17049,12810,12585,12835,11225
17050,12810,12585,12835,11225
17051,12810,12585,12835,11225
17052,12810,12585,12835,11225
17053,12810,12585,12835,11225
17054,12810,12585,12835,11225
17055,12810,12585,12835,11225
17056,12810,12585,12835,11225
17057,12810,12585,12840,11230
17058,12810,12585,12840,11235
17059,12810,12585,12840,11235
17060,12810,12585,12840,11235
17061,12805,12585,12840,11235
17062,12805,12585,12840,11235
17063,12805,12585,12840,11235
17064,12805,12585,12840,11235
17065,12805,12585,12840,11235
17066,12805,12585,12840,11235
17067,12805,12585,12840,11235
17068,12805,12585,12845,11235
17069,12805,12585,12845,11230
17070,12805,12585,12845,11230
17071,12805,12585,12845,11230
17072,12805,12585,12845,11230
17073,12805,12585,12845,11230
17074,12805,12585,12845,11230
17075,12840,12585,12845,11230
17076,12840,12585,12845,11230
17077,12840,12580,12845,11230
17078,12845,12580,12845,11230
17079,12845,12580,12845,11230
17080,12845,12580,12845,11230
17081,12845,12585,12845,11230
17082,12845,12585,12845,11230
17083,12845,12585,12845,11230
17084,12845,12585,12845,11230
17085,12845,12585,12845,11230
17086,12845,12585,12845,11230
17087,12845,12585,12845,11230
17088,12845,12585,12845,11230
17089,12845,12585,12845,11230
17090,12845,12585,12845,11230
17091,12845,12585,12845,11230
17092,12845,12585,12845,11230
17093,12845,12585,12845,11230
17094,12845,12585,12845,11230
17095,12845,12585,12845,11230
17096,12845,12585,12845,11230
17097,12840,12585,12845,11230
17098,12840,12585,12845,11230
17099,12840,12585,12845,11230
17100,12840,12585,12845,11230
17101,12840,12585,12880,11230
17102,12840,12585,12880,11230
17103,12840,12585,12880,11230
17104,12840,12585,12880,11230
17105,12840,12585,12880,11230
17106,12840,12585,12880,11230
17107,12875,12585,12880,11230
17108,12875,12585,12880,11230
17109,12875,12620,12880,11230
17110,12875,12620,12880,11230
17111,12875,12620,12880,11230
17112,12875,12620,12880,11230
17113,12875,12620,12880,11230
17114,12875,12620,12880,11230
17115,12875,12620,12880,11230
17116,12875,12620,12880,11230
17117,12875,12620,12880,11230
17118,12875,12620,12880,11230
17119,12875,12620,12880,11230
17120,12880,12620,12880,11230
17121,12880,12620,12880,11230
17122,12880,12620,12880,11230
17123,12880,12620,12880,11230
17124,12880,12620,12880,11230
17125,12880,12620,12880,11230
17126,12880,12615,12880,11230
17127,12880,12615,12880,11265
17128,12880,12615,12880,11265
17129,12880,12615,12880,11265
17130,12880,12615,12880,11265
17131,12880,12615,12880,11265
17132,12880,12615,12880,11265
17133,12880,12650,12880,11265
17134,12880,12650,12880,11265
17135,12880,12650,12880,11265
17136,12880,12650,12880,11265
17137,12880,12650,12880,11265
17138,12880,12650,12880,11265
17139,12880,12650,12880,11265
17140,12880,12645,12880,11265
17141,12880,12640,12880,11265
17142,12880,12640,12880,11265
17143,12880,12640,12880,11265
17144,12880,12640,12880,11265
17145,12880,12640,12880,11265
17146,12880,12640,12880,11265
17147,12880,12640,12880,11265
17148,12915,12635,12880,11265
17149,12915,12635,12880,11265
17150,12915,12635,12880,11265
17151,12915,12635,12880,11265
17152,12915,12635,12880,11265
17153,12915,12635,12880,11265
17154,12915,12635,12880,11265
17155,12915,12635,12880,11265
17156,12915,12635,12880,11265
17157,12915,12635,12880,11265
17158,12915,12635,12880,11265
17159,12915,12670,12880,11265
17160,12915,12670,12880,11265
17161,12915,12670,12880,11265
17162,12915,12670,12880,11265
17163,12915,12670,12880,11265
17164,12915,12670,12880,11265
17165,12915,12670,12880,11265
17166,12915,12705,12880,11265
17167,12915,12705,12880,11265
17168,12915,12700,12880,11265
17169,12915,12700,12880,11265
17170,12915,12700,12880,11265
17171,12915,12700,12880,11265
17172,12915,12700,12880,11265
17173,12915,12700,12880,11265
17174,12915,12700,12880,11265
17175,12915,12700,12880,11265
17176,12915,12700,12880,11265
17177,12915,12700,12880,11265
17178,12915,12700,12880,11265
17179,12915,12700,12880,11265
17180,12915,12700,12880,11265
17181,12915,12700,12880,11265
17182,12915,12700,12880,11265
17183,12915,12700,12880,11265
17184,12915,12700,12880,11265
17185,12915,12700,12880,11265
17186,12915,12700,12880,11265
17187,12915,12700,12880,11265
17188,12915,12700,12880,11265
17189,12915,12700,12880,11265
17190,12915,12700,12880,11265
17191,12915,12700,12880,11265
17192,12915,12700,12880,11265
17193,12915,12700,12880,11265
17194,12915,12700,12880,11265
17195,12915,12700,12880,11270
17196,12915,12700,12880,11275
17197,12915,12700,12880,11275
17198,12915,12700,12880,11275
17199,12915,12700,12880,11275
17200,12915,12700,12880,11275
17201,12915,12700,12880,11275
17202,12915,12700,12880,11275
17203,12915,12700,12880,11275
17204,12915,12700,12880,11270
17205,12915,12700,12880,11270
17206,12915,12700,12880,11305
17207,12915,12700,12880,11305
17208,12915,12700,12880,11305
17209,12915,12700,12880,11305
17210,12915,12700,12880,11305
17211,12910,12700,12880,11305
17212,12910,12700,12880,11305
17213,12910,12700,12880,11305
17214,12910,12700,12880,11305
17215,12910,12700,12880,11305
17216,12910,12700,12880,11305
17217,12915,12700,12880,11305
17218,12950,12700,12880,11305
17219,12950,12700,12880,11300
17220,12950,12700,12880,11300
17221,12950,12700,12885,11300
17222,12950,12700,12885,11300
17223,12950,12700,12885,11300
17224,12950,12700,12885,11300
17225,12950,12695,12920,11300
17226,12950,12695,12920,11300
17227,12950,12695,12920,11300
17228,12950,12690,12920,11300
17229,12950,12690,12920,11300
17230,12950,12690,12920,11300
17231,12950,12690,12920,11300
17232,12950,12690,12955,11300
17233,12950,12690,12955,11300
17234,12950,12690,12955,11305
17235,12950,12690,12955,11305
17236,12950,12690,12955,11305
17237,12950,12690,12955,11305
17238,12950,12690,12955,11305
17239,12950,12690,12955,11305
17240,12945,12690,12955,11305
17241,12945,12690,12955,11305
17242,12945,12690,12955,11305
17243,12945,12690,12955,11305
17244,12980,12690,12955,11305
17245,12980,12690,12955,11305
17246,12980,12690,12990,11305
17247,12980,12690,12990,11300
17248,12980,12690,12990,11300
17249,12980,12690,12995,11300
17250,12980,12690,12995,11300
17251,12980,12690,12995,11300
17252,12980,12690,12995,11300
17253,12980,12690,12995,11300
17254,12980,12690,12995,11300
17255,12980,12690,12995,11300
17256,12980,12690,12995,11300
17257,12980,12690,12995,11300
17258,12980,12690,12995,11300
17259,12980,12690,12995,11300
17260,12980,12685,12995,11335
17261,12980,12685,12995,11335
17262,12980,12685,12995,11335
17263,12980,12685,12995,11335
17264,12980,12690,12995,11335
17265,12980,12690,12995,11335
17266,12980,12690,12995,11335
17267,12980,12690,12995,11335
17268,12980,12690,12995,11335
17269,12980,12690,12995,11330
17270,12980,12690,12995,11330
17271,12980,12690,12995,11330
17272,12980,12690,12995,11330
17273,12980,12690,12995,11330
17274,12980,12690,12995,11330
17275,12980,12690,12995,11330
17276,12980,12690,12995,11330
17277,12980,12690,12995,11330
17278,12980,12690,12995,11330
17279,12980,12690,13000,11330
17280,12980,12690,12995,11330
17281,12980,12690,12995,11330
17282,12980,12685,12995,11330
17283,12980,12685,12995,11330
17284,12980,12685,12995,11330
17285,12980,12685,12995,11330
17286,12980,12685,12995,11330
17287,12980,12685,12995,11330
17288,12980,12685,12995,11330
17289,12980,12685,12995,11330
17290,12980,12680,12995,11330
17291,12980,12680,12995,11330
17292,12980,12680,12995,11330
17293,12980,12680,12995,11330
17294,12980,12680,12995,11330
17295,12980,12680,12995,11330
17296,12980,12680,12995,11330
17297,12980,12680,12990,11330
17298,12980,12680,12990,11330
17299,12980,12680,12990,11330
17300,12980,12680,12990,11330
17301,12980,12680,12990,11330
17302,12980,12680,12990,11330
17303,12980,12680,12990,11330
17304,12980,12680,12990,11330
17305,12980,12715,12990,11330
17306,12980,12715,12990,11330
17307,12980,12715,12990,11325
17308,12980,12715,12990,11325
17309,12980,12715,12990,11325
17310,12980,12715,12990,11360
17311,12980,12715,12990,11360
17312,12980,12715,12990,11360
17313,12980,12715,12990,11360
17314,12980,12715,12990,11360
17315,12980,12715,12990,11360
17316,12980,12715,12990,11365
17317,12980,12715,12990,11365
17318,12980,12715,12990,11365
17319,12980,12715,12990,11365
17320,12980,12715,12990,11365
17321,12980,12715,12990,11365
17322,12980,12715,12990,11365
17323,12980,12715,12990,11370
17324,12980,12715,12990,11365
17325,12980,12715,12990,11365
17326,13015,12715,12985,11365
17327,13015,12715,12985,11365
17328,13015,12715,12985,11365
17329,13015,12715,12985,11365
17330,13015,12715,12985,11365
17331,13015,12715,12985,11365
17332,13015,12715,12985,11365
17333,13015,12715,13020,11365
17334,13015,12715,13020,11365
17335,13015,12715,13020,11365
17336,13015,12715,13020,11365
17337,13015,12715,13020,11365
