,5%Greedy_1 0.0001,5%Greedy_2 0.0001,5%Greedy_3 0.0001,5%Greedy_4 0.0001,5%Greedy_5 0.0001,5%Greedy_6 0.0001,5%Greedy_7 0.0001
168,450,500,520,580,415,545,600
169,455,505,525,585,415,550,605
170,455,505,525,585,415,550,605
171,455,510,525,590,415,555,610
172,455,510,525,590,410,555,610
173,455,510,530,595,415,560,615
174,455,510,530,595,415,560,615
175,460,515,535,600,420,560,620
176,460,515,570,600,420,560,620
177,460,515,570,600,420,555,620
178,460,515,575,605,425,560,625
179,460,515,575,605,425,560,625
180,465,520,575,610,430,565,630
181,465,525,580,615,435,570,635
182,460,525,580,615,470,570,635
183,460,520,580,615,470,570,635
184,460,520,615,615,505,570,635
185,460,520,610,615,505,570,635
186,460,525,615,620,510,575,640
187,465,530,620,625,510,580,645
188,470,535,625,630,510,585,650
189,470,535,625,630,510,585,650
190,470,535,625,630,545,585,650
191,475,535,630,635,545,590,655
192,475,535,630,670,545,590,690
193,510,535,630,670,545,590,690
194,515,540,635,675,545,595,690
195,515,540,635,675,540,595,690
196,515,540,635,675,540,595,690
197,520,540,640,680,545,600,690
198,520,540,640,680,545,600,690
199,525,545,645,685,550,605,695
200,525,545,645,685,585,605,695
201,525,545,645,685,585,605,695
202,525,550,650,690,590,610,700
203,530,555,655,695,595,615,705
204,535,560,660,700,600,620,710
205,535,560,660,695,600,620,710
206,535,560,660,695,600,620,710
207,540,565,665,700,605,625,715
208,540,565,665,700,605,625,710
209,540,570,670,705,610,630,715
210,540,575,675,710,615,635,720
211,545,580,680,715,620,640,725
212,545,580,685,720,625,645,730
213,550,585,690,725,630,650,735
214,555,590,690,730,630,655,740
215,555,590,695,735,635,660,740
216,555,590,690,735,635,660,740
217,555,590,695,740,640,665,745
218,560,595,700,745,645,670,750
219,565,595,705,750,645,675,755
220,565,595,705,750,645,675,755
221,570,600,710,755,645,680,760
222,570,600,715,760,650,685,765
223,570,605,715,765,655,690,770
224,570,640,715,765,655,690,770
225,570,645,715,770,660,695,775
226,570,645,715,770,695,695,775
227,570,645,715,770,695,695,775
228,575,650,720,775,700,700,780
229,575,650,715,775,700,700,780
230,575,650,715,775,700,700,780
231,575,650,715,775,700,700,780
232,570,650,715,775,700,700,780
233,575,655,720,780,705,705,785
234,570,655,720,780,705,705,785
235,575,660,725,785,710,710,790
236,610,660,760,785,705,710,790
237,610,660,795,785,705,710,790
238,610,660,795,785,705,710,790
239,615,665,795,790,710,715,795
240,620,670,800,795,715,720,800
241,625,675,805,800,715,725,805
242,625,675,805,800,715,725,805
243,625,675,805,800,715,725,805
244,630,680,810,805,715,730,810
245,635,685,815,810,720,735,815
246,635,685,815,810,720,735,810
247,635,685,815,810,720,735,810
248,635,690,820,815,725,740,810
249,635,690,820,815,725,740,810
250,635,695,820,820,730,745,815
251,635,695,825,825,735,750,820
252,635,695,825,825,735,750,855
253,640,695,830,825,740,755,860
254,640,695,825,825,740,750,860
255,645,700,830,830,745,755,865
256,645,700,830,830,745,755,865
257,650,705,835,835,750,760,870
258,650,705,835,835,750,760,870
259,655,710,840,840,750,765,875
260,655,710,835,840,750,765,875
261,660,715,840,845,750,770,880
262,660,715,845,845,755,775,885
263,665,720,850,850,760,780,890
264,665,720,850,850,755,780,890
265,670,720,855,855,760,785,895
266,670,720,855,860,765,790,900
267,675,725,855,865,765,795,905
268,675,725,855,865,765,795,905
269,675,725,855,865,765,795,905
270,675,725,855,865,765,795,905
271,680,730,860,870,770,800,910
272,680,735,865,875,775,805,915
273,685,740,870,880,775,810,920
274,685,745,870,885,780,815,925
275,690,750,875,890,785,820,930
276,690,750,875,890,785,820,930
277,725,750,875,890,785,820,930
278,725,750,875,890,785,820,930
279,730,755,880,895,790,820,935
280,725,755,880,895,790,820,935
281,730,760,885,900,795,825,940
282,730,795,885,900,795,825,940
283,730,795,885,900,795,825,940
284,735,800,890,905,795,830,945
285,735,800,890,905,795,830,945
286,735,800,895,910,800,835,950
287,735,805,895,915,805,835,955
288,735,810,900,920,810,840,960
289,740,815,900,925,815,845,965
290,740,815,900,925,815,880,965
291,735,815,900,925,815,880,965
292,735,815,905,930,820,885,970
293,735,820,910,935,825,890,975
294,735,820,910,935,825,890,975
295,740,825,915,940,825,895,980
296,740,830,920,945,830,900,980
297,745,835,925,950,830,905,985
298,745,840,930,955,830,905,990
299,750,845,935,960,830,910,990
300,745,845,935,960,830,945,990
301,745,845,935,960,825,945,990
302,750,845,940,965,825,950,995
303,750,850,945,970,830,955,1000
304,750,850,945,970,830,955,1000
305,750,850,980,970,825,955,1000
306,750,850,980,970,825,955,1000
307,750,850,980,970,825,955,1000
308,750,850,980,970,825,955,1000
309,750,850,980,970,820,955,1035
310,750,850,980,970,820,955,1035
311,750,850,980,970,820,955,1035
312,755,855,985,975,820,960,1040
313,755,855,985,975,820,960,1040
314,755,855,985,975,820,960,1040
315,760,860,990,980,820,965,1045
316,760,860,990,980,815,965,1045
317,760,860,990,980,810,965,1045
318,765,865,995,985,815,970,1050
319,765,865,995,985,815,970,1050
320,765,865,995,985,815,970,1085
321,765,865,995,985,815,970,1085
322,765,865,995,985,815,970,1085
323,770,870,1000,990,820,975,1090
324,770,870,1000,990,820,975,1085
325,770,875,1000,995,825,980,1090
326,770,875,1000,995,825,1015,1090
327,775,880,1005,1000,830,1020,1095
328,770,880,1005,1000,830,1020,1095
329,805,880,1000,1000,830,1020,1095
330,840,880,1000,1000,830,1020,1095
331,840,880,1005,1005,830,1025,1100
332,840,880,1005,1005,830,1060,1135
333,840,885,1005,1010,830,1065,1140
334,840,880,1005,1010,830,1065,1140
335,845,885,1010,1015,830,1070,1140
336,845,885,1005,1015,830,1070,1140
337,845,885,1005,1015,830,1070,1140
338,845,885,1010,1020,835,1075,1145
339,845,885,1010,1020,835,1075,1145
340,845,885,1010,1020,830,1075,1140
341,850,890,1015,1025,830,1080,1145
342,850,895,1020,1030,830,1085,1150
343,855,900,1025,1035,830,1090,1155
344,860,905,1030,1040,830,1095,1160
345,860,905,1030,1040,830,1095,1160
346,865,910,1035,1045,835,1100,1165
347,865,910,1035,1045,835,1100,1165
348,870,915,1035,1050,840,1100,1170
349,875,920,1040,1055,840,1105,1175
350,875,920,1040,1055,840,1105,1175
351,870,920,1040,1055,875,1105,1175
352,870,920,1040,1055,875,1105,1175
353,875,925,1040,1060,875,1110,1180
354,875,925,1040,1060,875,1110,1215
355,880,930,1045,1065,880,1115,1220
356,880,935,1050,1070,885,1120,1225
357,880,940,1055,1075,885,1125,1230
358,880,940,1055,1075,885,1125,1230
359,880,940,1055,1075,885,1125,1230
360,875,940,1090,1075,885,1125,1230
361,875,940,1090,1075,885,1125,1230
362,875,940,1095,1080,885,1130,1230
363,880,945,1100,1085,885,1130,1235
364,880,945,1135,1085,885,1130,1235
365,880,945,1170,1085,885,1130,1235
366,880,945,1205,1085,885,1130,1235
367,880,945,1205,1085,885,1130,1235
368,880,945,1205,1085,885,1130,1235
369,880,950,1205,1090,890,1135,1240
370,885,950,1210,1095,895,1140,1245
371,885,955,1210,1100,895,1145,1250
372,885,955,1210,1100,895,1145,1245
373,885,955,1245,1100,895,1145,1245
374,890,960,1250,1105,900,1150,1250
375,925,960,1250,1105,900,1150,1250
376,920,960,1250,1105,900,1150,1250
377,925,965,1255,1110,900,1155,1255
378,925,965,1255,1110,900,1155,1255
379,925,965,1255,1110,900,1155,1255
380,925,965,1260,1115,900,1160,1260
381,930,970,1260,1120,900,1165,1265
382,935,975,1265,1125,900,1170,1270
383,935,975,1265,1125,900,1170,1270
384,940,975,1270,1130,900,1175,1275
385,940,975,1270,1130,895,1175,1275
386,945,980,1270,1135,900,1180,1280
387,950,985,1275,1140,900,1185,1285
388,950,985,1280,1145,905,1190,1290
389,950,985,1280,1145,905,1190,1290
390,950,985,1285,1150,910,1195,1295
391,950,985,1285,1150,910,1195,1295
392,955,990,1290,1155,910,1200,1295
393,990,990,1290,1155,910,1200,1295
394,985,990,1290,1155,910,1200,1295
395,985,990,1290,1155,910,1200,1330
396,985,990,1290,1155,910,1200,1330
397,985,990,1290,1155,910,1200,1330
398,985,990,1290,1155,910,1200,1330
399,985,990,1290,1155,910,1200,1330
400,985,990,1290,1155,910,1200,1330
401,985,990,1325,1155,910,1200,1330
402,980,990,1325,1155,910,1200,1330
403,980,990,1325,1155,910,1200,1330
404,985,995,1330,1160,910,1205,1335
405,985,1000,1330,1165,910,1210,1340
406,985,1005,1335,1170,915,1215,1345
407,985,1005,1335,1170,915,1215,1345
408,985,1005,1335,1170,915,1215,1345
409,990,1010,1340,1175,915,1220,1350
410,995,1015,1340,1180,915,1225,1350
411,995,1015,1340,1185,915,1230,1355
412,995,1015,1340,1185,915,1230,1355
413,995,1015,1340,1185,915,1230,1355
414,995,1015,1375,1185,915,1230,1355
415,995,1015,1375,1185,910,1230,1355
416,1000,1020,1380,1190,910,1235,1355
417,1000,1020,1385,1195,915,1240,1360
418,1000,1020,1385,1195,915,1240,1360
419,1000,1020,1385,1195,915,1240,1360
420,1005,1025,1390,1200,920,1245,1365
421,1005,1025,1390,1200,955,1245,1400
422,1005,1025,1390,1200,955,1245,1400
423,1010,1030,1390,1205,960,1250,1405
424,1010,1030,1390,1205,960,1250,1405
425,1045,1030,1385,1205,995,1250,1440
426,1045,1030,1385,1205,995,1250,1440
427,1050,1035,1390,1210,995,1255,1445
428,1055,1040,1395,1215,1000,1260,1450
429,1055,1040,1395,1215,1035,1260,1445
430,1055,1040,1395,1215,1035,1295,1445
431,1055,1035,1395,1215,1035,1295,1445
432,1055,1035,1395,1215,1035,1295,1445
433,1090,1035,1395,1215,1035,1295,1445
434,1090,1035,1395,1215,1035,1295,1480
435,1090,1035,1395,1215,1035,1295,1480
436,1090,1040,1400,1220,1035,1300,1485
437,1090,1040,1400,1220,1035,1300,1485
438,1090,1040,1400,1220,1035,1300,1485
439,1090,1045,1405,1225,1035,1305,1490
440,1090,1045,1440,1225,1030,1305,1525
