epoch valid_acc test_acc train_losses
1 0,16310000000000002 0,17100000000000004 0,6195163128525019
2 0,14070000000000005 0,15600000000000003 0,4359266411885619
3 0,13049999999999995 0,14270000000000005 0,39728340819478036
4 0,12639999999999996 0,13979999999999992 0,3643956572562456
5 0,1272000000000001 0,14179999999999993 0,34330945380032063
6 0,12450000000000006 0,138 0,33087944485247134
7 0,12849999999999995 0,1411 0,3173333378881216
8 0,125 0,139 0,3102783587574959
9 0,119 0,13049999999999995 0,29620608873665333
10 0,11709999999999998 0,131 0,2854635883495212
11 0,12270000000000003 0,13470000000000004 0,27617527175694706
12 0,11450000000000005 0,12539999999999996 0,2693618824519217
13 0,1129 0,12390000000000001 0,2604339992441237
14 0,1109 0,12150000000000005 0,2531983465142548
15 0,11399999999999999 0,1301 0,24511698093265294
16 0,11029999999999995 0,12239999999999995 0,2406733150407672
17 0,11629999999999996 0,12460000000000004 0,23241290267556905
18 0,10520000000000007 0,11850000000000005 0,22865981647744774
19 0,10709999999999997 0,11850000000000005 0,21900077328085898
20 0,1068 0,11709999999999998 0,21939331617206334
21 0,10870000000000002 0,11950000000000005 0,20969851985573768
22 0,1149 0,12079999999999991 0,20400165306404233
23 0,10760000000000003 0,11739999999999995 0,2009770324639976
24 0,11450000000000005 0,12090000000000001 0,19341139597818255
25 0,1059 0,11329999999999996 0,1870893925614655
26 0,10550000000000004 0,11339999999999995 0,1830507668107748
27 0,10939999999999994 0,11770000000000003 0,17817843982949852
28 0,10539999999999994 0,11650000000000005 0,17769486298784615
29 0,10229999999999995 0,11160000000000003 0,17197292977944018
30 0,10920000000000007 0,11770000000000003 0,1643531676568091
31 0,10409999999999997 0,1149 0,16513705417513846
32 0,122 0,13170000000000004 0,15748480390757322
33 0,10050000000000003 0,10929999999999995 0,15714252401143314
34 0,10150000000000003 0,1119 0,14945746548473834
35 0,10560000000000003 0,11329999999999996 0,14491409062407912
36 0,10050000000000003 0,11360000000000003 0,13994919817894697
37 0,11339999999999995 0,11660000000000004 0,14353940970264376
38 0,1038 0,11250000000000004 0,13913803570903838
39 0,10370000000000001 0,11020000000000008 0,13500147398561238
40 0,10170000000000001 0,11099999999999999 0,12646552735939623
41 0,10250000000000004 0,10870000000000002 0,12386911009438335
42 0,11809999999999998 0,124 0,12136721610091626
43 0,10109999999999997 0,1109 0,12209558317437769
44 0,10629999999999995 0,11250000000000004 0,11146741328760981
45 0,10420000000000007 0,11029999999999995 0,11062386685051023
46 0,0988 0,1079 0,10825261688791216
47 0,10560000000000003 0,11020000000000008 0,10255247133783996
48 0,10229999999999995 0,11060000000000003 0,09887173560447991
49 0,09789999999999999 0,10720000000000007 0,0990512004494667
50 0,0988 0,10699999999999998 0,09592524413019418
51 0,10439999999999994 0,10820000000000007 0,0942207176052034
52 0,10099999999999998 0,10820000000000007 0,09032342193648218
53 0,09739999999999993 0,1048 0,08987669786438346
54 0,09939999999999993 0,11199999999999999 0,08427061088383198
55 0,1018 0,11099999999999999 0,08715723176952452
56 0,10160000000000002 0,1069 0,0809106794698164
57 0,09860000000000002 0,10560000000000003 0,07826245208270848
58 0,10199999999999998 0,10950000000000004 0,07573693672195077
59 0,10980000000000001 0,11829999999999996 0,07239431834314018
60 0,10129999999999995 0,11009999999999998 0,07605867635458707
61 0,1058 0,11470000000000002 0,07532319398596883
62 0,10670000000000002 0,11070000000000002 0,07487691537011415
63 0,10470000000000002 0,11009999999999998 0,06760919383727014
64 0,10039999999999993 0,10460000000000003 0,06272880310658366
65 0,09739999999999993 0,10470000000000002 0,06099514305591583
66 0,10170000000000001 0,10960000000000003 0,06018027883954346
67 0,10089999999999999 0,1069 0,05931109449360519
68 0,09770000000000001 0,10670000000000002 0,0562984331510961
69 0,09739999999999993 0,10420000000000007 0,05591462168842554
70 0,09999999999999998 0,10570000000000002 0,05373552105855197
71 0,09860000000000002 0,10350000000000004 0,0498832644126378
72 0,09989999999999999 0,10639999999999994 0,04971175763756037
73 0,09820000000000007 0,1068 0,05156197114381939
74 0,09850000000000003 0,10639999999999994 0,045971195991151036
75 0,10550000000000004 0,11029999999999995 0,04570556761464104
76 0,1018 0,1119 0,0453377877548337
77 0,10529999999999995 0,11020000000000008 0,04314055806491524
78 0,10129999999999995 0,10699999999999998 0,0452619662322104
79 0,10229999999999995 0,10609999999999997 0,04143822823651135
80 0,1069 0,11039999999999994 0,03814075719797984
81 0,09960000000000002 0,10599999999999998 0,03594541494967416
82 0,09999999999999998 0,10429999999999995 0,03869440364418551
83 0,1028 0,11160000000000003 0,04001120404573157
84 0,09920000000000007 0,10709999999999997 0,033154369310941546
85 0,09939999999999993 0,1069 0,03508988342946395
86 0,09710000000000008 0,10620000000000007 0,03242442206479609
87 0,09799999999999998 0,1058 0,030782413256820292
88 0,09839999999999993 0,10760000000000003 0,02867484188172966
89 0,10089999999999999 0,10670000000000002 0,030552713416982444
90 0,10050000000000003 0,10850000000000004 0,027007307463791222
91 0,1038 0,10920000000000007 0,027063503037206827
92 0,09870000000000001 0,10470000000000002 0,02474798323819414
93 0,10089999999999999 0,10660000000000003 0,027522875155555085
94 0,09899999999999998 0,1078 0,026893065524054693
95 0,09789999999999999 0,1048 0,036250447605270894
96 0,10189999999999999 0,10829999999999995 0,02806394806248136
97 0,10570000000000002 0,11150000000000004 0,025112513396888973
98 0,09929999999999994 0,10720000000000007 0,02165335307829082
