HIDDEN_UNITS TRAIN_EPOCHS SAMPLES PI SIGMA_1 SIGMA_2 LR GOOGLE_INIT
400 600 1 0.25 1.0 8.0 0.001 True
epoch validErr testErr loss
137 2.18 2.02 5695.47265625
138 2.2 2.0 5693.89208984375
139 2.16 1.96 5693.037109375
140 1.95 2.03 5695.0107421875
141 2.16 1.81 5691.16845703125
142 2.09 1.8 5690.44384765625
143 2.07 1.78 5688.2529296875
144 2.06 1.94 5688.18115234375
145 2.15 1.96 5686.01416015625
146 2.29 1.85 5684.552734375
147 2.08 1.82 5686.572265625
148 2.29 1.93 5681.51318359375
149 2.23 2.14 5682.4921875
150 2.16 2.0 5681.85302734375
151 2.15 2.01 5679.580078125
152 2.11 2.08 5678.646484375
153 2.22 1.95 5678.28271484375
154 2.2 1.7 5677.09423828125
155 2.26 2.02 5676.04931640625
156 2.05 1.87 5674.7880859375
157 2.15 1.97 5672.43603515625
158 2.25 1.94 5670.55029296875
159 2.1 1.87 5671.06591796875
160 2.15 1.93 5669.84716796875
161 2.17 1.88 5669.30322265625
162 2.12 2.13 5668.79541015625
163 2.37 2.08 5664.984375
164 2.35 2.31 5663.388671875
165 2.24 2.03 5662.38525390625
166 2.14 1.98 5663.1640625
167 2.02 1.96 5660.2158203125
168 2.29 2.11 5659.77197265625
169 2.27 2.16 5658.87744140625
170 2.12 1.95 5658.1376953125
171 2.19 1.73 5655.62060546875
172 2.26 1.94 5654.03076171875
173 2.11 1.75 5651.193359375
174 2.2 1.93 5654.79833984375
175 2.24 1.82 5653.00390625
176 2.21 1.92 5651.2138671875
177 2.32 2.1 5650.88232421875
178 2.17 1.95 5648.1904296875
179 2.18 1.93 5648.18896484375
180 2.29 1.79 5645.53857421875
181 2.18 1.85 5644.31201171875
182 2.14 1.8 5643.4765625
183 2.17 2.08 5641.6982421875
184 2.25 1.86 5641.92431640625
185 2.01 1.88 5638.48486328125
186 2.14 1.8 5638.9306640625
187 2.3 1.91 5638.0078125
188 2.11 1.95 5635.12548828125
189 2.07 2.02 5635.298828125
190 2.16 1.79 5634.49267578125
191 2.13 1.85 5634.9873046875
192 2.15 1.87 5629.3251953125
193 2.17 2.1 5632.49951171875
194 2.13 1.87 5629.22509765625
195 2.22 1.9 5629.75
196 2.16 1.91 5627.50927734375
197 2.11 1.9 5627.43017578125
198 2.02 1.88 5626.4287109375
199 2.25 1.93 5623.8408203125
200 2.21 1.81 5623.8876953125
201 2.22 1.8 5626.09912109375
202 2.16 1.68 5619.47265625
203 2.24 1.8 5619.95166015625
204 2.24 2.1 5617.642578125
205 2.17 2.12 5617.583984375
206 2.1 1.93 5617.76123046875
207 2.08 2.12 5614.119140625
208 2.09 1.93 5611.16552734375
209 2.01 2.07 5612.24462890625
210 2.12 1.99 5613.83154296875
211 1.99 1.91 5610.6572265625
212 2.15 2.08 5611.25
213 2.07 1.88 5608.8525390625
214 1.97 1.92 5606.86474609375
215 2.07 1.69 5604.8427734375
216 2.09 1.96 5603.92919921875
217 2.01 1.99 5604.01025390625
218 2.04 1.91 5601.79443359375
219 2.04 1.86 5602.05419921875
220 2.08 1.97 5600.578125
221 2.07 1.88 5596.1640625
222 2.06 1.91 5598.98046875
223 1.96 1.99 5597.82763671875
224 2.01 1.84 5595.673828125
225 2.13 1.97 5595.40087890625
226 2.03 1.88 5590.76318359375
227 2.09 1.76 5591.9033203125
228 2.01 1.9 5591.5546875
229 2.0 1.99 5590.65673828125
230 2.0 2.02 5588.20947265625
231 1.86 1.84 5589.01220703125
232 2.2 1.68 5584.43701171875
233 1.95 1.88 5586.58935546875
234 1.93 2.03 5584.71484375
235 2.19 2.02 5582.4541015625
236 2.04 1.84 5581.81982421875
237 1.99 1.94 5580.07861328125
238 1.98 1.83 5581.47900390625
239 1.94 1.72 5577.3359375
240 1.99 1.85 5576.30078125
241 2.04 1.78 5576.80322265625
242 2.04 1.84 5575.5595703125
243 2.0 1.94 5575.970703125
244 2.06 1.92 5573.5205078125
245 2.12 2.01 5572.044921875
246 2.09 2.04 5569.353515625
247 2.19 1.92 5569.28173828125
248 2.43 2.27 5567.2705078125
249 2.1 2.0 5564.93359375
250 2.23 1.92 5566.470703125
251 1.98 1.96 5564.77685546875
252 2.07 1.96 5565.9658203125
253 2.05 1.89 5561.22265625
254 2.05 1.81 5559.50048828125
255 2.04 2.08 5561.873046875
256 2.25 2.09 5559.08251953125
257 2.2 1.93 5557.58056640625
258 2.18 1.82 5555.7412109375
259 2.0 2.01 5554.09912109375
260 1.93 2.0 5557.041015625
261 1.99 1.86 5553.765625
262 2.18 2.04 5552.54296875
263 2.14 2.02 5551.37939453125
264 1.92 1.88 5549.01123046875
265 1.92 2.1 5549.45751953125
266 2.02 2.02 5545.79931640625
267 2.15 2.06 5547.978515625
268 2.09 2.06 5544.90087890625
269 2.02 1.73 5546.39453125
270 2.03 1.88 5543.12158203125
271 2.04 1.82 5541.67822265625
272 2.1 1.94 5542.1025390625
273 2.02 2.02 5540.36474609375
274 1.97 1.8 5539.6083984375
275 2.0 1.99 5538.24853515625
276 2.03 1.86 5534.90087890625
277 1.98 1.85 5535.2763671875
278 1.92 1.77 5533.63818359375
279 2.08 1.86 5532.98095703125
280 2.08 2.0 5528.46044921875
281 2.12 2.04 5531.30615234375
282 2.05 1.97 5530.2177734375
283 1.96 1.84 5528.32958984375
284 2.01 1.91 5528.0634765625
285 2.1 2.26 5527.59375
286 1.97 1.71 5526.29052734375
287 2.09 1.97 5524.18505859375
288 2.09 1.94 5522.74169921875
289 2.13 1.95 5522.25146484375
290 2.1 1.98 5520.29150390625
291 2.17 1.96 5517.86474609375
292 2.04 1.89 5516.6005859375
293 2.13 1.84 5515.41357421875
294 2.13 1.84 5516.51025390625
295 2.09 1.93 5515.90966796875
296 2.01 1.63 5513.12353515625
297 2.04 1.84 5512.3544921875
298 2.11 1.99 5511.16845703125
299 2.08 1.94 5507.9697265625
300 2.13 1.91 5508.31640625
301 1.96 1.99 5505.04052734375
302 1.99 1.78 5507.7119140625
303 2.0 1.93 5504.4052734375
304 2.01 1.91 5504.505859375
305 2.14 1.92 5503.10400390625
306 2.01 2.05 5501.8564453125
307 2.09 1.76 5500.14404296875
308 2.08 1.9 5499.24462890625
309 2.09 1.89 5498.32421875
310 2.13 1.68 5498.1591796875
311 2.06 1.84 5497.00927734375
312 2.05 2.01 5494.90625
313 2.16 1.99 5495.6455078125
314 1.92 1.81 5493.17626953125
315 2.21 1.86 5490.4208984375
316 1.99 2.07 5489.24609375
317 2.08 1.94 5490.3388671875
318 2.02 1.95 5488.6728515625
319 2.01 2.03 5485.29638671875
320 2.21 1.78 5485.44287109375
321 2.16 1.88 5483.5224609375
322 1.95 1.81 5482.5283203125
323 1.95 1.87 5482.72265625
324 1.96 1.86 5481.62939453125
325 2.09 1.96 5477.90185546875
326 2.13 1.88 5477.5654296875
327 2.17 2.1 5478.19580078125
328 2.07 1.84 5475.44677734375
329 2.07 1.93 5473.2216796875
330 2.15 1.81 5475.71826171875
331 2.17 2.16 5472.61328125
332 2.15 1.93 5470.2705078125
333 2.3 2.3 5469.5615234375
334 2.06 2.02 5470.337890625
335 2.07 1.8 5464.61669921875
336 2.62 2.3 5471.30810546875
337 2.14 1.8 5466.4287109375
338 2.08 1.89 5465.08740234375
339 2.22 1.83 5465.7236328125
340 2.05 1.99 5463.0078125
341 2.07 1.98 5462.60107421875
342 2.09 1.69 5461.6181640625
343 2.05 2.01 5458.02392578125
344 2.01 1.84 5460.79150390625
345 1.95 1.85 5456.29931640625
346 2.06 2.02 5457.07666015625
347 1.99 2.09 5453.58984375
348 2.0 1.98 5453.71142578125
349 2.04 1.92 5451.2705078125
350 2.03 1.91 5451.54833984375
351 2.08 1.89 5449.18701171875
352 2.02 2.04 5451.109375
353 2.09 1.97 5447.53662109375
354 2.16 2.14 5448.4306640625
355 2.06 2.15 5444.9677734375
356 2.08 2.03 5443.95263671875
357 2.26 1.8 5442.75390625
358 2.02 1.84 5440.93212890625
359 2.02 1.66 5441.0634765625
360 2.11 1.9 5440.77294921875
361 1.96 1.9 5440.44921875
362 1.95 1.92 5436.29638671875
363 2.16 1.94 5435.07958984375
364 2.03 1.92 5435.111328125
365 2.09 2.11 5431.78662109375
366 2.03 1.76 5433.935546875
367 1.88 1.87 5432.7685546875
368 1.99 1.94 5430.509765625
369 2.15 1.98 5429.85009765625
370 2.07 1.91 5429.72265625
371 2.09 1.96 5428.9130859375
372 1.93 1.77 5426.5283203125
373 2.09 1.98 5425.06298828125
374 1.99 1.97 5422.99609375
375 2.02 1.85 5423.85693359375
376 1.96 2.11 5419.8125
377 2.12 2.14 5420.24462890625
378 2.26 2.06 5419.0703125
379 2.09 1.8 5416.6982421875
380 1.93 1.93 5416.8359375
381 2.13 1.94 5414.52880859375
382 1.99 2.14 5415.68798828125
383 2.1 1.93 5413.14501953125
384 2.06 1.95 5411.33984375
385 1.89 2.07 5409.388671875
386 1.96 1.94 5409.89208984375
387 2.18 2.28 5410.82666015625
388 2.01 1.84 5407.60009765625
389 2.14 1.82 5405.79052734375
390 2.0 1.94 5406.23876953125
391 2.03 2.27 5405.33056640625
392 2.14 1.91 5406.1630859375
393 2.0 1.83 5402.912109375
394 2.08 1.9 5399.84814453125
395 2.01 2.01 5401.13427734375
396 2.06 1.94 5401.1513671875
397 2.11 1.74 5395.5546875
398 2.01 2.09 5396.8330078125
399 2.08 1.79 5395.8369140625
400 2.12 1.95 5394.166015625
401 2.18 1.91 5391.71142578125
402 2.14 1.92 5393.38623046875
403 1.98 1.78 5389.24072265625
404 2.08 2.0 5390.2626953125
405 2.12 1.7 5388.9033203125
406 2.02 1.73 5386.5771484375
407 2.09 2.0 5384.21142578125
408 2.06 1.89 5383.86962890625
409 1.96 1.84 5384.00341796875
410 2.74 2.39 5382.75341796875
411 2.44 2.28 5379.9580078125
412 2.35 2.04 5382.08251953125
413 2.19 1.84 5378.63623046875
414 2.35 2.08 5380.86767578125
415 2.06 1.85 5377.86572265625
416 2.16 1.9 5374.662109375
417 1.99 1.97 5374.4345703125
418 2.13 2.31 5373.40185546875
419 2.04 2.03 5373.09033203125
420 2.15 2.05 5373.23193359375
421 2.15 2.04 5369.58251953125
422 2.08 1.93 5369.68017578125
423 2.08 1.95 5368.9033203125
424 2.12 1.93 5366.66357421875
425 1.94 2.03 5364.6767578125
426 2.0 1.82 5366.64208984375
427 2.08 1.95 5366.19580078125
428 2.13 1.91 5362.98486328125
429 2.12 1.92 5364.39697265625
430 2.14 1.82 5361.60888671875
431 2.02 1.82 5358.90380859375
432 2.11 2.12 5355.04833984375
433 2.0 1.83 5355.89892578125
434 2.18 1.79 5355.53662109375
435 2.2 1.98 5356.41455078125
436 2.16 1.87 5352.19970703125
437 2.03 1.91 5352.44091796875
438 2.13 1.91 5350.40185546875
439 2.1 1.89 5348.15234375
440 2.09 2.01 5349.21435546875
441 2.18 1.89 5347.68505859375
442 2.05 2.07 5344.611328125
443 2.18 2.07 5344.609375
444 2.26 1.93 5343.16162109375
445 2.2 2.05 5342.37158203125
446 2.17 1.88 5343.15087890625
447 2.14 1.92 5341.64111328125
448 2.35 2.09 5339.83740234375
449 2.07 1.94 5337.544921875
450 2.25 2.17 5337.9482421875
451 2.16 1.95 5335.6328125
452 2.23 1.93 5334.9697265625
453 2.09 2.0 5333.267578125
454 2.22 2.04 5333.59326171875
455 2.11 2.04 5331.34326171875
456 2.17 1.96 5330.61474609375
457 2.08 1.86 5328.98388671875
458 2.16 1.83 5329.11376953125
459 2.17 1.78 5328.0458984375
460 2.07 1.98 5327.333984375
461 2.1 1.79 5325.9140625
462 2.06 1.91 5325.15087890625
463 1.9 1.83 5321.65966796875
464 2.13 1.96 5321.97802734375
465 2.09 1.75 5319.6328125
466 2.16 1.75 5320.93896484375
467 2.18 1.89 5317.4462890625
468 2.12 1.8 5315.95654296875
469 2.11 1.94 5315.4697265625
470 2.05 2.05 5312.6904296875
471 2.01 2.06 5315.33251953125
472 2.0 2.14 5312.3203125
473 2.12 1.93 5310.8291015625
474 2.2 1.97 5310.693359375
475 2.18 1.92 5307.662109375
476 2.31 1.99 5307.7509765625
477 2.22 1.87 5304.45556640625
478 2.06 1.76 5303.30029296875
479 2.33 2.14 5303.7236328125
480 2.06 1.97 5304.0498046875
481 2.23 1.93 5299.8291015625
482 2.1 1.88 5301.84375
483 2.11 2.0 5296.82666015625
484 2.21 1.89 5297.3515625
485 2.16 2.08 5295.23828125
486 2.17 1.92 5296.1015625
487 2.06 1.62 5296.68701171875
488 2.07 2.03 5294.2392578125
489 2.16 2.05 5293.3779296875
490 2.28 1.97 5291.01318359375
491 2.05 1.84 5292.201171875
492 2.05 1.91 5290.552734375
493 1.96 1.94 5287.46630859375
494 2.12 2.02 5284.4794921875
495 2.11 2.06 5286.4931640625
496 2.08 1.88 5286.0595703125
497 2.01 1.96 5283.111328125
498 2.16 2.1 5280.92822265625
499 2.18 1.79 5280.28662109375
500 1.93 2.03 5279.2314453125
501 1.94 2.18 5278.791015625
502 2.09 1.83 5278.12646484375
503 2.05 1.92 5279.234375
504 2.27 2.03 5277.7138671875
505 2.15 2.14 5272.4599609375
506 2.09 1.88 5271.541015625
507 2.3 2.01 5269.67822265625
508 2.0 1.87 5270.33203125
509 2.22 2.01 5271.44921875
510 2.11 2.15 5268.40771484375
511 2.0 2.03 5269.2158203125
512 2.04 1.84 5265.65625
513 2.06 1.88 5263.72509765625
514 2.03 1.62 5261.22021484375
515 2.15 1.71 5261.74609375
516 2.02 2.07 5263.544921875
517 1.94 1.68 5260.20068359375
518 2.21 1.9 5259.0009765625
519 2.04 1.76 5258.56298828125
520 2.09 1.86 5258.8408203125
521 1.96 1.86 5256.673828125
522 2.03 2.11 5253.09619140625
523 2.12 1.93 5252.81591796875
524 2.2 1.76 5251.20556640625
525 2.06 1.89 5250.3271484375
526 2.06 2.0 5250.212890625
527 2.01 2.05 5252.83935546875
528 2.16 1.87 5248.23095703125
529 2.09 1.91 5247.126953125
530 2.06 1.97 5246.017578125
531 2.09 2.07 5244.0390625
532 2.1 2.03 5241.013671875
533 2.16 1.95 5243.3935546875
534 2.24 2.02 5239.75634765625
535 2.12 1.91 5240.29736328125
536 2.15 1.94 5239.12109375
537 2.14 1.9 5236.36865234375
538 2.1 1.92 5236.14306640625
539 2.32 1.83 5236.103515625
540 2.1 2.13 5233.73681640625
541 2.07 1.84 5232.9130859375
542 2.09 1.94 5231.48681640625
543 2.08 1.89 5229.00439453125
544 2.27 1.92 5231.85498046875
545 2.2 1.93 5230.30029296875
546 2.31 2.08 5227.1904296875
547 2.11 1.82 5227.56787109375
548 2.28 1.95 5224.6884765625
549 2.26 2.17 5222.1826171875
550 2.04 2.04 5222.34521484375
551 2.09 1.83 5222.26611328125
552 2.34 1.95 5221.32080078125
553 2.23 1.88 5218.4404296875
554 2.18 2.04 5218.43994140625
555 2.13 2.11 5216.1494140625
556 2.11 1.96 5217.5390625
557 2.04 2.12 5214.75830078125
558 2.06 2.03 5213.830078125
559 2.07 1.96 5213.01708984375
560 2.14 1.93 5213.33544921875
561 2.06 2.03 5210.17578125
562 2.06 2.17 5208.828125
563 2.36 2.27 5206.46923828125
564 2.23 1.9 5206.8798828125
565 2.16 1.95 5204.107421875
566 2.19 2.15 5206.1650390625
567 2.14 1.94 5206.10107421875
568 2.19 2.16 5201.38720703125
569 2.14 2.03 5201.6943359375
570 2.04 1.94 5201.51220703125
571 2.16 1.96 5198.86328125
572 2.02 2.11 5195.4384765625
573 2.04 2.13 5194.0771484375
574 1.99 1.95 5192.36865234375
575 2.13 1.77 5192.86767578125
576 2.02 1.97 5191.90625
577 2.03 1.95 5192.0048828125
578 2.21 2.08 5193.03125
579 2.11 2.06 5190.79296875
580 2.15 1.98 5187.42333984375
581 1.91 1.85 5187.615234375
582 2.13 1.88 5185.04052734375
583 2.14 2.18 5185.59814453125
584 2.05 2.05 5181.71484375
585 2.0 2.01 5181.251953125
586 2.2 2.27 5185.09375
587 2.05 2.02 5180.888671875
588 2.1 1.91 5178.5888671875
589 1.95 1.8 5178.25048828125
590 1.97 1.91 5177.25830078125
591 1.97 1.79 5176.734375
592 2.17 1.89 5173.599609375
593 2.06 1.96 5172.541015625
594 2.19 2.0 5172.81591796875
595 2.18 1.76 5170.87255859375
596 2.09 2.03 5170.521484375
597 2.0 1.93 5169.9453125
598 2.04 1.94 5166.0966796875
599 1.99 2.0 5168.05810546875
600 2.09 2.04 5167.48681640625
