epoch 1200_dropout 1200_mlp 1200_bbb
191 0.0149 0.0196 0.0177
192 0.0158 0.0197 0.0178
193 0.0147 0.0195 0.0172
194 0.0142 0.0192 0.0176
195 0.0147 0.0197 0.0174
196 0.0152 0.0194 0.0176
197 0.0147 0.0193 0.0182
198 0.0141 0.0194 0.0187
199 0.0141 0.0193 0.0174
200 0.0148 0.0195 0.0178
201 0.0151 0.0192 0.0175
202 0.015 0.0197 0.0166
203 0.0147 0.0197 0.0184
204 0.015 0.0195 0.0171
205 0.0149 0.0196 0.0174
206 0.0151 0.0195 0.0185
207 0.0149 0.0198 0.031
208 0.0149 0.0198 0.0224
209 0.0154 0.0198 0.0205
210 0.0152 0.0191 0.0182
211 0.0149 0.0194 0.0173
212 0.0146 0.0195 0.0158
213 0.0152 0.0194 0.0153
214 0.0152 0.0195 0.015
215 0.0153 0.0195 0.015
216 0.0154 0.0194 0.0159
217 0.0148 0.0193 0.0158
218 0.0147 0.0194 0.0155
219 0.0152 0.0193 0.0158
220 0.0142 0.0193 0.0161
221 0.0146 0.0193 0.016
222 0.0149 0.0197 0.0153
223 0.015 0.0196 0.0154
224 0.0148 0.0195 0.0153
225 0.0147 0.0195 0.0167
226 0.0149 0.0194 0.0163
227 0.0151 0.0196 0.0157
228 0.0146 0.0196 0.0158
229 0.0149 0.0192 0.0167
230 0.0147 0.0194 0.0164
231 0.0147 0.0193 0.017
232 0.015 0.0196 0.0162
233 0.0146 0.0195 0.0166
234 0.0148 0.0194 0.0164
235 0.0153 0.0194 0.0162
236 0.0151 0.0195 0.0161
237 0.0152 0.0195 0.0162
238 0.015 0.0196 0.0159
239 0.0149 0.0194 0.017
240 0.0152 0.0195 0.016
241 0.0148 0.0196 0.0163
242 0.0148 0.0193 0.0162
243 0.0153 0.0197 0.0167
244 0.0151 0.0194 0.0165
245 0.0154 0.0194 0.0162
246 0.0146 0.0193 0.0165
247 0.0148 0.0194 0.0169
248 0.0149 0.0196 0.0173
249 0.015 0.0194 0.0163
250 0.015 0.0193 0.0175
251 0.0148 0.0191 0.0166
252 0.015 0.0193 0.0172
253 0.0147 0.0195 0.0171
254 0.0147 0.0198 0.0164
255 0.0143 0.0196 0.0165
256 0.0145 0.0195 0.0161
257 0.0146 0.0194 0.0171
258 0.0148 0.0194 0.0175
259 0.0146 0.0194 0.0167
260 0.0151 0.0194 0.016
261 0.0151 0.0194 0.0167
262 0.0148 0.0194 0.0167
263 0.0146 0.0196 0.0164
264 0.0145 0.0197 0.0166
265 0.0146 0.0196 0.0149
266 0.0144 0.0196 0.0169
267 0.0144 0.0194 0.0163
268 0.0148 0.0196 0.0169
269 0.0143 0.0195 0.0162
270 0.0143 0.0195 0.0163
271 0.0149 0.0194 0.0163
272 0.0145 0.0197 0.0161
273 0.0139 0.0193 0.0165
274 0.0147 0.0193 0.0177
275 0.014 0.0193 0.0176
276 0.0142 0.0193 0.0176
277 0.0138 0.0196 0.0163
278 0.0139 0.0195 0.0165
279 0.0142 0.0196 0.0172
280 0.0145 0.0193 0.0172
281 0.0141 0.0195 0.0175
282 0.0137 0.0195 0.0175
283 0.0144 0.0197 0.018
284 0.0143 0.0194 0.018
285 0.0138 0.0196 0.0171
286 0.0148 0.0194 0.0176
287 0.0141 0.0193 0.017
288 0.0144 0.0192 0.0179
289 0.0142 0.0193 0.0162
290 0.0149 0.0196 0.0286
291 0.0139 0.0193 0.0232
292 0.0145 0.0199 0.0253
293 0.0142 0.0195 0.023
294 0.0141 0.0196 0.0179
295 0.0142 0.0195 0.0174
296 0.0146 0.0196 0.0172
297 0.0144 0.0194 0.0152
298 0.0139 0.0194 0.0157
299 0.0138 0.0194 0.0148
300 0.014 0.0197 0.0159
301 0.0135 0.0195 0.0154
302 0.0139 0.0194 0.0153
303 0.0139 0.0197 0.0152
304 0.0135 0.0194 0.0158
305 0.0136 0.0194 0.0153
306 0.0138 0.0195 0.0157
307 0.0138 0.0191 0.016
308 0.014 0.0193 0.016
309 0.0139 0.0191 0.0154
310 0.0142 0.0194 0.0158
311 0.0142 0.0197 0.0155
312 0.0141 0.0196 0.0163
313 0.0141 0.0193 0.0159
314 0.0141 0.0195 0.016
315 0.0137 0.0198 0.016
316 0.0142 0.0194 0.0161
317 0.0141 0.0192 0.0159
318 0.014 0.0194 0.0166
319 0.014 0.0196 0.016
320 0.0141 0.0193 0.0158
321 0.0143 0.0196 0.0163
322 0.0138 0.0192 0.0163
323 0.0136 0.0198 0.0161
324 0.014 0.0191 0.0164
325 0.014 0.0192 0.0171
326 0.0144 0.0193 0.0162
327 0.0143 0.0195 0.0164
328 0.0138 0.0194 0.017
329 0.0142 0.0193 0.0166
330 0.0138 0.0195 0.0164
331 0.0136 0.0194 0.0164
332 0.0136 0.0194 0.0163
333 0.0143 0.0194 0.0159
334 0.0141 0.0196 0.0164
335 0.0145 0.0191 0.0153
336 0.0138 0.0197 0.0168
337 0.0137 0.0191 0.0153
338 0.0135 0.0192 0.0174
339 0.0134 0.0196 0.0173
340 0.0135 0.0195 0.0168
341 0.0132 0.0196 0.0165
342 0.014 0.0193 0.0169
343 0.0136 0.0194 0.0168
344 0.0139 0.0194 0.0168
345 0.0136 0.0193 0.0169
346 0.0137 0.0193 0.0155
347 0.0138 0.0194 0.016
348 0.0133 0.0195 0.0158
349 0.0136 0.0197 0.0175
350 0.0137 0.0195 0.0166
351 0.0139 0.0195 0.0166
352 0.0136 0.0195 0.0168
353 0.0134 0.0193 0.0202
354 0.0137 0.0195 0.0231
355 0.0138 0.0193 0.021
356 0.0138 0.0196 0.0255
357 0.0133 0.0195 0.0184
358 0.0137 0.0196 0.0177
359 0.0141 0.0192 0.0155
360 0.0137 0.0191 0.015
361 0.0139 0.0193 0.0157
362 0.0137 0.0195 0.0146
363 0.0141 0.0194 0.0155
364 0.0137 0.0193 0.0155
365 0.0138 0.0194 0.0151
366 0.0139 0.0195 0.0151
367 0.0138 0.0195 0.0151
368 0.0138 0.0192 0.015
369 0.0139 0.0193 0.0154
370 0.0137 0.0195 0.0152
371 0.0138 0.0196 0.0152
372 0.0137 0.0195 0.0144
373 0.0137 0.0196 0.0156
374 0.0136 0.0194 0.0148
375 0.0135 0.0192 0.0152
376 0.0139 0.0194 0.0156
377 0.0137 0.0193 0.0157
378 0.014 0.0194 0.0166
379 0.0138 0.0191 0.0169
380 0.0138 0.0192 0.0164
381 0.0135 0.0194 0.0159
382 0.0141 0.0194 0.0154
383 0.0138 0.0196 0.0159
384 0.0136 0.0192 0.0159
385 0.0132 0.0195 0.0163
386 0.0138 0.0195 0.0162
387 0.0137 0.0193 0.0164
388 0.014 0.0195 0.0164
389 0.014 0.0194 0.0163
390 0.0141 0.0195 0.017
391 0.0139 0.0193 0.0158
392 0.0142 0.0195 0.016
393 0.0139 0.0191 0.0165
394 0.0135 0.0194 0.0155
395 0.0137 0.0197 0.0151
396 0.0136 0.0195 0.0167
397 0.0137 0.0197 0.0159
398 0.014 0.0196 0.017
399 0.0138 0.0195 0.0304
400 0.0136 0.0193 0.0283
401 0.0138 0.0196 0.0214
402 0.0132 0.0193 0.0199
403 0.0138 0.0193 0.0171
404 0.0138 0.0192 0.0169
405 0.0132 0.0195 0.0164
406 0.0136 0.0192 0.0157
407 0.0134 0.0193 0.0164
408 0.0141 0.0192 0.0155
409 0.0135 0.0194 0.0166
410 0.0139 0.0193 0.0166
411 0.0137 0.0195 0.0166
412 0.0134 0.0194 0.0159
413 0.0133 0.0192 0.0158
414 0.0134 0.0194 0.0162
415 0.0136 0.0193 0.0162
416 0.0135 0.0192 0.0163
417 0.0137 0.0194 0.0165
418 0.0138 0.0195 0.0165
419 0.0144 0.0194 0.0166
420 0.0136 0.0193 0.0162
421 0.0139 0.0193 0.0167
422 0.0134 0.0193 0.0167
423 0.0134 0.0196 0.0157
424 0.0134 0.0194 0.0163
425 0.0136 0.0194 0.0161
426 0.0134 0.0196 0.0155
427 0.0138 0.0193 0.0157
428 0.0139 0.0195 0.0162
429 0.0132 0.0195 0.0165
430 0.013 0.0192 0.016
431 0.0131 0.0193 0.0164
432 0.0135 0.0194 0.0162
433 0.0137 0.0193 0.0156
434 0.0138 0.0193 0.0155
435 0.0137 0.0195 0.0157
436 0.0136 0.0192 0.0166
437 0.0137 0.0192 0.0157
438 0.0132 0.0193 0.0162
439 0.0135 0.0194 0.016
440 0.0141 0.0193 0.0167
441 0.0134 0.0195 0.0174
442 0.0135 0.0194 0.0169
443 0.0137 0.0193 0.017
444 0.013 0.0194 0.0171
445 0.0132 0.0194 0.017
446 0.0135 0.0194 0.0168
447 0.0132 0.0194 0.0168
448 0.0136 0.0194 0.0173
449 0.0134 0.0194 0.0164
450 0.0133 0.0192 0.0166
451 0.0135 0.0194 0.0185
452 0.0134 0.0196 0.0176
453 0.0139 0.0194 0.0162
454 0.0138 0.0192 0.0176
455 0.0134 0.0194 0.0175
456 0.0138 0.0192 0.017
457 0.0136 0.0192 0.0177
458 0.0134 0.0195 0.0168
459 0.0137 0.0194 0.017
460 0.0131 0.0195 0.0202
461 0.0139 0.0196 0.0299
462 0.0133 0.0194 0.0218
463 0.0138 0.0195 0.0202
464 0.0133 0.0193 0.0196
465 0.0139 0.0195 0.0175
466 0.0137 0.0194 0.0174
467 0.0135 0.0193 0.0163
468 0.0137 0.0193 0.0164
469 0.0137 0.0195 0.0158
470 0.0133 0.0194 0.0159
471 0.0132 0.0194 0.0159
472 0.0135 0.0194 0.0163
473 0.0136 0.0193 0.016
474 0.0133 0.0192 0.0155
475 0.0133 0.0192 0.0154
476 0.0133 0.0193 0.0158
477 0.0138 0.0194 0.0158
478 0.0135 0.0193 0.0163
479 0.0133 0.0194 0.0158
480 0.0134 0.0193 0.0161
481 0.0134 0.0192 0.0165
482 0.0133 0.0193 0.0158
483 0.0133 0.0194 0.0161
484 0.0134 0.0194 0.016
485 0.0136 0.0193 0.0159
486 0.0136 0.0192 0.0171
487 0.0135 0.0193 0.0164
488 0.0138 0.0193 0.0169
489 0.0138 0.0195 0.0165
490 0.0133 0.0194 0.017
491 0.0129 0.0194 0.0166
492 0.0133 0.0194 0.016
493 0.0136 0.0193 0.0158
494 0.0134 0.0195 0.0164
495 0.0138 0.0193 0.0168
496 0.0133 0.0194 0.0158
497 0.0134 0.0193 0.0159
498 0.0134 0.0192 0.0165
499 0.0131 0.0195 0.0165
500 0.0132 0.0193 0.0164
501 0.0137 0.0192 0.0161
502 0.0132 0.0192 0.0157
503 0.0131 0.0194 0.0167
504 0.0129 0.0193 0.0157
505 0.0131 0.0193 0.0176
506 0.0134 0.0194 0.0166
507 0.0132 0.0194 0.0165
508 0.0131 0.0192 0.0175
509 0.0132 0.0194 0.0173
510 0.0135 0.0191 0.0167
511 0.0134 0.0193 0.0173
512 0.0132 0.0193 0.0167
513 0.0128 0.0193 0.0169
514 0.0133 0.0195 0.0168
515 0.0133 0.0194 0.0162
516 0.0132 0.0194 0.0178
517 0.0135 0.0195 0.0159
518 0.0131 0.0193 0.0168
519 0.0127 0.0193 0.0174
520 0.0124 0.0194 0.0165
521 0.0132 0.0194 0.0162
522 0.0136 0.0195 0.0165
523 0.0128 0.0193 0.0165
524 0.0127 0.0193 0.0162
525 0.013 0.0192 0.0166
526 0.0133 0.0193 0.0173
527 0.0134 0.0193 0.0176
528 0.0129 0.0191 0.017
529 0.0127 0.0192 0.0172
530 0.0128 0.0191 0.0252
531 0.0129 0.0193 0.027
532 0.013 0.0195 0.0209
533 0.013 0.0194 0.0188
534 0.0131 0.0194 0.0176
535 0.0131 0.0194 0.0155
536 0.0127 0.0192 0.0172
537 0.0129 0.0194 0.015
538 0.0131 0.0192 0.015
539 0.0132 0.0193 0.0153
540 0.0128 0.0193 0.015
541 0.0132 0.0194 0.0152
542 0.0132 0.0193 0.0153
543 0.0137 0.0194 0.0153
544 0.0135 0.0194 0.0147
545 0.0127 0.0194 0.0161
546 0.0132 0.0194 0.0168
547 0.0131 0.0194 0.0156
548 0.0129 0.0194 0.0151
549 0.0129 0.0193 0.0152
550 0.013 0.0193 0.0154
551 0.0132 0.0194 0.0152
552 0.0132 0.0193 0.0156
553 0.0129 0.0192 0.0141
554 0.0135 0.0193 0.0164
555 0.0131 0.0194 0.015
556 0.0133 0.0193 0.0157
557 0.0129 0.0194 0.0152
558 0.0132 0.0193 0.0163
559 0.0135 0.0194 0.0161
560 0.0132 0.0194 0.0155
561 0.0129 0.0193 0.0162
562 0.0134 0.0194 0.0165
563 0.0129 0.0194 0.0165
564 0.013 0.0193 0.0163
565 0.013 0.0192 0.0166
566 0.0132 0.0192 0.0168
567 0.0131 0.0192 0.0165
568 0.0134 0.0192 0.0169
569 0.013 0.0194 0.0173
570 0.0133 0.0195 0.0171
571 0.0135 0.0193 0.0175
572 0.0135 0.0194 0.0169
573 0.0136 0.0194 0.0174
574 0.0128 0.0194 0.0176
575 0.0136 0.0193 0.0166
576 0.0137 0.0193 0.0166
577 0.0135 0.0194 0.017
578 0.0132 0.0194 0.0178
579 0.0127 0.0194 0.021
580 0.0127 0.0193 0.0241
581 0.0129 0.0193 0.0206
582 0.0131 0.0195 0.0199
583 0.013 0.0194 0.0177
584 0.0132 0.0195 0.0174
585 0.0133 0.0192 0.0158
586 0.0131 0.0194 0.0158
587 0.0128 0.0194 0.0159
588 0.0136 0.0194 0.0158
589 0.0136 0.0193 0.0158
590 0.0135 0.0194 0.0166
591 0.0135 0.0194 0.0162
592 0.0131 0.0195 0.0155
593 0.0132 0.0194 0.0162
594 0.0133 0.0193 0.016
595 0.0132 0.0194 0.0158
596 0.0127 0.0193 0.0168
597 0.0126 0.0192 0.0165
598 0.0127 0.0193 0.0157
599 0.0129 0.0193 0.0159
600 0.0127 0.0194 0.0158
