,kl,loss,train_acc,val_acc,xe
0,7617947.3891258,5401.826097921988,0.380796908315565,0.47432324840764334,1.7048230838419787
1,8079799.782871357,218432.30045578285,0.5106165600568585,0.5431926751592356,1.3519308465799713
2,8117676.416844349,219443.14024376086,0.5614339019189766,0.5979299363057324,1.225104017213633
3,8157318.253731343,220476.39188507223,0.5979255508173419,0.5919585987261147,1.1310126026556182
4,8198311.381307747,221595.5507824674,0.628953447050462,0.6206210191082803,1.0503359860618147
5,8239229.265103056,222682.5323775196,0.6556947405828003,0.6190286624203821,0.9798127591567591
6,8279322.018834399,223838.39017670305,0.6741737739872068,0.6492834394904459,0.9238289795026935
7,8316357.819829424,224840.3901375232,0.6923862828713575,0.660031847133758,0.8747395914373621
8,8351666.286069652,225847.23292361072,0.7096881663113006,0.6476910828025477,0.8285410549510178
9,8381302.46872779,226712.95938153868,0.7248134328358209,0.6594347133757962,0.7815758983717799
10,8409159.572494669,227484.3945628371,0.7357409381663113,0.6656050955414012,0.7494997580634336
11,8434285.788201848,228215.85600434133,0.7492004264392325,0.6723726114649682,0.7136142811583727
12,8457310.483297797,228871.80033200857,0.7601057213930348,0.6570461783439491,0.682149484859516
13,8479051.642857144,229482.85348853603,0.771588486140725,0.6695859872611465,0.6539268249747765
14,8498493.115493959,230016.6537149516,0.7854255508173419,0.6606289808917197,0.6188910184236138
15,8517315.251954513,230547.18454321538,0.7918443496801706,0.673765923566879,0.5942949165074471
16,8536448.021321962,231054.68973625693,0.8004841862117982,0.6705812101910829,0.5741778475516386
17,8554683.616915423,231571.07741061223,0.8057258351101635,0.6761544585987261,0.5540761295348596
18,8570284.865671642,232000.3745356353,0.8173418621179815,0.6759554140127388,0.5316311575223472
19,8585793.713930348,232442.4272476588,0.8233830845771144,0.6717754777070064,0.5086384485657747
20,8599720.378464818,232833.39119475873,0.8322228144989339,0.6671974522292994,0.49134549735260924
21,8614253.113361763,233231.78676973938,0.8361984719260839,0.6825238853503185,0.4802516891959295
22,8627326.19580668,233589.91672752882,0.8455490405117271,0.67078025477707,0.451432315832601
23,8640382.866027009,233956.40093444363,0.8526785714285714,0.6671974522292994,0.4317555919861488
24,8653671.902985075,234313.66629469016,0.8517457356076759,0.6723726114649682,0.4356968841318891
25,8666208.045842217,234657.70220752698,0.8608742004264393,0.6721735668789809,0.41274967281559555
26,8677518.046552949,234997.06905176898,0.8619847192608386,0.6596337579617835,0.4103401533454424
27,8688859.030561479,235292.015656553,0.8723569651741293,0.674562101910828,0.38066105740495665
28,8700397.42217484,235598.0558620221,0.8754219971570718,0.6761544585987261,0.3698561870107095
29,8711579.32196162,235909.57483335384,0.8832178393745558,0.6660031847133758,0.3596331218804293
30,8722042.549040511,236198.92493413837,0.880863539445629,0.6568471337579618,0.3624932476092334
31,8730940.47761194,236467.7671708725,0.8876821250888415,0.6723726114649682,0.3388526879288071
32,8741227.748045487,236716.7844365641,0.8896588486140725,0.6785429936305732,0.33548367325039136
33,8751394.569296375,236989.21150667328,0.8932569296375267,0.6642117834394905,0.32124941935597284
34,8761134.761904761,237267.78820688176,0.9013192963752665,0.660828025477707,0.3019800559374654
35,8769857.111584932,237519.48895061814,0.8995646766169154,0.6735668789808917,0.30626375273441964
36,8779475.542288557,237755.56416599607,0.904184434968017,0.6689888535031847,0.2977838925673086
37,8788447.868159205,238009.58684411735,0.9079157782515992,0.6263933121019108,0.2862059841754594
38,8798073.413646055,238252.92581522514,0.9043843283582089,0.666202229299363,0.2930457581922825
39,8807171.961975835,238538.32567241858,0.9133128997867804,0.664609872611465,0.2687688502585668
40,8815886.900142146,238765.1497590126,0.9142235252309879,0.6741640127388535,0.2696482533325561
41,8825071.922530206,239004.50673169555,0.910181236673774,0.660828025477707,0.28566646945279545
42,8834246.771855012,239240.98412916224,0.9193985429992892,0.6620222929936306,0.2556775749423399
43,8842926.283937456,239509.05051994155,0.9209754797441365,0.6835191082802548,0.2526128215115589
44,8850539.859630419,239713.0381265647,0.923707356076759,0.6697850318471338,0.24771667102400766
45,8858964.834754797,239935.7060597153,0.9246401918976546,0.6711783439490446,0.24288281647444787
46,8867227.223880596,240163.978011573,0.9260172352523098,0.6781449044585988,0.23873650940305896
47,8875172.61904762,240368.57135292434,0.9263503909026297,0.6669984076433121,0.23588800162617077
48,8883560.58493248,240591.78737826337,0.9319918265813788,0.6679936305732485,0.22744799132360238
49,8891499.766879886,240824.13646531248,0.9319474058280028,0.6749601910828026,0.22313424374699042
50,8899803.383084577,241027.5267031649,0.9282826936744847,0.6771496815286624,0.24096256528544824
51,8908075.54299929,241257.01670247913,0.9341684434968017,0.6618232484076433,0.2257063826062871
52,8915345.343283582,241480.60344326322,0.9398765103056148,0.6755573248407644,0.2036750502540189
53,8922795.602700781,241668.1615867633,0.939432302771855,0.6618232484076433,0.19769365258260704
54,8930167.651030561,241880.91306813405,0.9353233830845771,0.6687898089171974,0.2145823011308506
55,8937810.292110873,242083.3530547681,0.9373667377398721,0.6773487261146497,0.21293730603023972
56,8946320.011371713,242305.04130480555,0.9450071073205402,0.6576433121019108,0.189536353214442
57,8953809.402985075,242513.83317915845,0.9361895877754086,0.6687898089171974,0.22075557534257909
58,8961733.209665956,242726.92476263182,0.9407205046197583,0.6612261146496815,0.2042582078539656
59,8969268.764036957,242932.61123976673,0.9387659914712153,0.6753582802547771,0.21111412864514675
60,8976795.375266524,243157.63106650618,0.9471837242359631,0.6671974522292994,0.18298567915183056
61,8984436.606965175,243332.468088173,0.9465618336886994,0.6697850318471338,0.18904845965145833
62,8991621.262260128,243545.79477995614,0.9467173063255153,0.677547770700637,0.18907218397076705
63,8999388.149964463,243744.52191472446,0.9404539800995025,0.6719745222929936,0.21278176161473156
64,9006901.696517413,243961.78728212463,0.9542466240227434,0.6695859872611465,0.1609168120665845
65,9013650.661691543,244145.6604987305,0.949338130774698,0.6741640127388535,0.17797555018007205
66,9021057.06254442,244334.86781880283,0.9486496090973703,0.666202229299363,0.18110759785582856
67,9028377.870646765,244525.91740694843,0.9560900852878464,0.6618232484076433,0.15845437182276362
68,9036302.720682302,244730.88752771093,0.9489827647476902,0.6632165605095541,0.1872547224306984
69,9043491.968017058,244944.51004358547,0.9501821250888415,0.6771496815286624,0.18456771645454031
70,9050995.262260128,245135.52496286712,0.9494936034115139,0.6757563694267515,0.18259590601068
71,9058111.405117271,245358.6921427066,0.9534914712153518,0.6823248407643312,0.17316555568065387
72,9065241.287846481,245549.90158230482,0.9574004975124378,0.6705812101910829,0.15510172416755894
73,9072409.728500355,245719.67894873564,0.9552238805970149,0.6741640127388535,0.16821047937326722
74,9079738.286425019,245928.9605241083,0.958999644633973,0.6749601910828026,0.15092917438927447
75,9086885.574982231,246117.63343683875,0.9524920042643923,0.6703821656050956,0.1789151041436869
76,9093951.705756929,246323.80883797168,0.9538246268656716,0.6751592356687898,0.174022206597099
77,9101425.405117271,246498.3028559391,0.9573560767590619,0.6759554140127388,0.16643946725867195
78,9108786.188343994,246720.10102536477,0.954957356076759,0.6763535031847133,0.16976080515819741
79,9115866.171997158,246912.61420010627,0.9529362117981521,0.6705812101910829,0.1759314447980276
80,9122566.166311301,247100.8507899499,0.9606210021321961,0.6596337579617835,0.14738330313328232
81,9128930.717128642,247271.6476515434,0.9639081378820185,0.669984076433121,0.14034992691020892
82,9135567.849324804,247458.0290894543,0.96477434257285,0.6767515923566879,0.13557288151395896
83,9142855.93745558,247628.58581252655,0.9558679815209666,0.6709792993630573,0.1732525110930501
84,9150375.783226723,247841.10568026986,0.9604211087420043,0.6751592356687898,0.15014054077229308
85,9156949.119402984,248033.9734766836,0.9645078180525942,0.6697850318471338,0.14020386174739508
86,9163953.510305615,248219.40642165387,0.9602878464818764,0.6799363057324841,0.15795970990507205
87,9170702.600568585,248391.0843376307,0.9618425728500355,0.6801353503184714,0.15573918875293608
88,9177770.310589908,248602.9036994386,0.9644189765458422,0.6767515923566879,0.14078252363814983
89,9184422.438521678,248764.93566668525,0.9616871002132196,0.6797372611464968,0.1499383096512362
90,9192136.257995736,248965.65422229026,0.9617759417199716,0.6656050955414012,0.15697382536121693
91,9198515.34612651,249161.46373563012,0.9544909381663113,0.6749601910828026,0.17854568698227025
92,9205802.63610519,249343.1177989427,0.960976368159204,0.6809315286624203,0.14894637902212338
93,9212798.28713575,249538.4649250539,0.96477434257285,0.67078025477707,0.14005217270286224
94,9219433.105899077,249731.52875244457,0.9690831556503199,0.6713773885350318,0.1241586715705804
95,9225860.32906894,249895.9581156498,0.9544243070362474,0.6797372611464968,0.17800483491348518
96,9232180.560767591,250076.99159420596,0.9702603056147833,0.6733678343949044,0.12383046412248729
97,9239976.779673064,250257.0652820997,0.9520922174840085,0.6773487261146497,0.19172050192417325
98,9246960.206112295,250465.3557247325,0.9622867803837953,0.669984076433121,0.15940478337265407
99,9254035.942430703,250669.63587742497,0.9663068585643213,0.6773487261146497,0.14210360766902788
