,kl,loss,train_acc,val_acc,xe
0,13421420.191186922,9540.670314026964,0.3952780739161336,0.5384156050955414,1.636538232482742
1,14259647.315565033,10136.027300023321,0.5625888415067519,0.5625,1.2386755188390899
2,14358872.604122246,10206.389522810057,0.6303304904051172,0.615047770700637,1.0782465696673742
3,14457445.658137882,10276.352418987652,0.6677549751243781,0.6568471337579618,0.9820587205903786
4,14546652.219616205,10339.689766152496,0.6907427149964463,0.6817277070063694,0.9175351757950705
5,14625351.26652452,10395.567574376999,0.7150630774697939,0.6944665605095541,0.8614504077626021
6,14694081.65387349,10444.375031233341,0.7269012082444918,0.692078025477707,0.8199569162487051
7,14751931.55721393,10485.462199327025,0.7373845060412224,0.6813296178343949,0.7913144831972589
8,14805210.012793178,10523.309902080002,0.7451137171286425,0.6982484076433121,0.772347015506762
9,14851905.465529496,10556.464287796509,0.7591062544420754,0.6869028662420382,0.738763412242251
10,14892828.71641791,10585.531708783094,0.7658804193319119,0.7074044585987261,0.7207311242607017
11,14930829.110163469,10612.512812611052,0.7749866737739872,0.7091958598726115,0.6937263492751646
12,14966461.572850036,10637.835897243693,0.7758528784648188,0.6910828025477707,0.6916750131152417
13,14998744.361762615,10660.75879739139,0.7848925017768301,0.7109872611464968,0.6702075871323218
14,15028882.251599148,10682.169024436967,0.790889303482587,0.7163614649681529,0.6604466682727572
15,15057210.028429283,10702.277370124822,0.7962197938877044,0.7167595541401274,0.6353455817309693
16,15083358.877754087,10720.850955185013,0.8033715351812367,0.7155652866242038,0.624063471720078
17,15107084.098791756,10737.700184207311,0.808546552949538,0.6992436305732485,0.6109973293038743
18,15132126.950959489,10755.490060162358,0.8130996801705757,0.705015923566879,0.6021757833950894
19,15155641.420753377,10772.196242559523,0.8151208244491827,0.7052149681528662,0.5958320329862024
20,15178328.759061834,10788.308507684791,0.8189854299928927,0.7207404458598726,0.5834662888752457
21,15200542.606254442,10804.097140552816,0.8212286780383795,0.7253184713375797,0.5840289548261842
22,15220427.904761905,10818.208181331069,0.8268923240938166,0.7062101910828026,0.5619931810329634
23,15239605.31840796,10831.83123514681,0.8302238805970149,0.7205414012738853,0.5549761257011923
24,15258580.717128642,10845.319628142768,0.8321117626154939,0.7129777070063694,0.5569683312416585
25,15277871.326936744,10859.01981235008,0.8362206823027718,0.731687898089172,0.546688885381015
26,15295406.710732054,10871.476508362206,0.835976368159204,0.7072054140127388,0.5404483861426936
