,kl,loss,train_acc,val_acc,xe
0,13416290.077469794,9536.880532466019,0.45740049751243783,0.5630971337579618,1.4928914672021927
1,14237223.41222459,10119.945225046642,0.6112295664534471,0.6178343949044586,1.0939216748483653
2,14308812.309168443,10170.664569174218,0.6751066098081023,0.6578423566878981,0.9327464079975489
3,14377090.434257286,10219.07768148654,0.7171730632551528,0.6847133757961783,0.8184484190227466
4,14444983.631130064,10267.253638337332,0.7433813077469794,0.7171576433121019,0.7404495340208679
5,14509249.74697939,10312.86513512238,0.767679459843639,0.723328025477707,0.67599387546338
6,14570564.095238095,10356.38269728367,0.7876243781094527,0.728702229299363,0.6155197964696573
7,14624080.178393746,10394.361213602746,0.8093683368869936,0.7352707006369427,0.5584185047084419
8,14673368.60199005,10429.34828855166,0.8216506751954513,0.73546974522293,0.5145896718848574
9,14717413.095238095,10460.615888192964,0.8381307746979388,0.7428343949044586,0.4783748756900864
10,14756228.050461976,10488.168858553216,0.8492803837953091,0.7364649681528662,0.4443219154490676
11,14791958.50177683,10513.526130508173,0.8642945984363894,0.7291003184713376,0.40682028329851105
12,14825959.921108741,10537.66750233209,0.8708910803127221,0.7513933121019108,0.3822851094927615
13,14854708.471215352,10558.069512232365,0.8824848969438521,0.741640127388535,0.35179465035057356
14,14882452.50533049,10577.768016779939,0.8894145344705047,0.7342754777070064,0.3317116493201671
15,14908057.231698649,10595.946923446385,0.8970771144278606,0.740843949044586,0.3125229724355217
16,14933338.675195452,10613.890223130997,0.9050950604122245,0.7426353503184714,0.2874661637304646
17,14957001.400142146,10630.694329690832,0.910270078180526,0.7428343949044586,0.273782695825632
18,14978892.113006396,10646.236854233297,0.9151341506751954,0.7312898089171974,0.257823983232498
19,14998736.734186212,10660.331570384684,0.9204202203269367,0.7368630573248408,0.24833003701357528
20,15017569.977256574,10673.694009028519,0.9272832267235253,0.7474124203821656,0.22538460171553118
21,15036284.4633973,10687.0028811023,0.9255952380952381,0.7505971337579618,0.23333277251351658
22,15054209.57071784,10699.72414295709,0.9307480454868514,0.7420382165605095,0.21459123597618698
23,15071329.84434968,10711.888564293487,0.9341684434968017,0.7428343949044586,0.21113501545293328
24,15088314.936744846,10723.942313405072,0.9397876687988628,0.740047770700637,0.19300806518662628
25,15105088.926083867,10735.868261232898,0.9379886282871357,0.7432324840764332,0.1971466353304774
26,15120765.064676616,10746.994166999822,0.9429637526652452,0.7448248407643312,0.1815026484525153
27,15135535.791755509,10757.491504530917,0.945140369580668,0.7404458598726115,0.18081607337572428
28,15151135.987917555,10768.562059262838,0.9495158137882018,0.7386544585987261,0.163743832554369
29,15167262.701492537,10780.030303282694,0.9481831911869225,0.7398487261146497,0.17030565736136202
30,15181332.833688699,10790.01828330446,0.9522032693674485,0.7426353503184714,0.15816769539229653
31,15195730.81663113,10800.273184856966,0.9459843638948117,0.7456210191082803,0.17999032070011683
32,15208921.914712153,10809.621033365538,0.9546908315565032,0.7541799363057324,0.152406676012464
33,15222573.229566453,10819.323723875044,0.9558679815209666,0.7384554140127388,0.1526866267013609
34,15236400.76119403,10829.147178449271,0.9561122956645345,0.7442277070063694,0.14850223234867216
35,15249415.405117271,10838.41115571695,0.9530250533049041,0.7392515923566879,0.1626169409632005
36,15261935.327647477,10847.275274020523,0.9626199360341151,0.7440286624203821,0.12837477823733945
37,15274043.997867804,10855.898220948828,0.9593772210376688,0.7428343949044586,0.14530614486021104
38,15287151.676616915,10865.196803371535,0.9634417199715707,0.7521894904458599,0.12785823328364918
39,15300031.480454868,10874.364159948027,0.959088486140725,0.7555732484076433,0.14111016088449307
40,15313320.406538734,10883.807639397877,0.960954157782516,0.7503980891719745,0.13970502306159133
41,15324722.673063256,10891.902642896011,0.9632862473347548,0.7484076433121019,0.13072405044087385
42,15337378.001421465,10900.953828097237,0.9483608742004265,0.746218152866242,0.18739494256338987
43,15349061.646766169,10909.176015847104,0.9690165245202559,0.7436305732484076,0.10564526027451086
44,15360130.035536602,10917.055051194919,0.9674173773987207,0.7498009554140127,0.11796876611340296
45,15371907.499644633,10925.42796341951,0.966795486851457,0.7384554140127388,0.12030641040642294
46,15384807.196162047,10934.603508684257,0.9654184434968017,0.7501990445859873,0.12763961152634937
47,15397710.330490405,10943.775792494003,0.9651519189765458,0.7565684713375797,0.12925263683496316
