epoch 1200_dropout 1200_mlp 1200_bbb
191 0.4565 0.4172 0.4316
192 0.4521 0.4076 0.4296
193 0.4536 0.414 0.4397
194 0.4468 0.4143 0.4353
195 0.455 0.4173 0.4357
196 0.4503 0.41 0.4392
197 0.4539 0.4107 0.4386
198 0.4475 0.4171 0.4406
199 0.4479 0.413 0.4331
200 0.4449 0.412 0.4347
201 0.4463 0.4189 0.4352
202 0.453 0.4108 0.4371
203 0.4477 0.4192 0.4299
204 0.4475 0.4168 0.4307
205 0.4484 0.4144 0.4367
206 0.4419 0.4138 0.4294
207 0.4471 0.4215 0.4294
208 0.452 0.4137 0.4357
209 0.4503 0.4128 0.4396
210 0.4484 0.4142 0.4338
211 0.4464 0.4146 0.4381
212 0.4453 0.4104 0.434
213 0.4467 0.4197 0.4352
214 0.4492 0.4155 0.442
215 0.4444 0.4181 0.443
216 0.4471 0.411 0.4336
217 0.4485 0.4125 0.4363
218 0.4514 0.4151 0.4263
219 0.4454 0.4138 0.436
220 0.4409 0.4076 0.4306
221 0.4412 0.4152 0.4355
222 0.4454 0.4125 0.4374
223 0.4476 0.412 0.4408
224 0.4457 0.4133 0.4309
225 0.4394 0.4138 0.4396
226 0.4412 0.4159 0.4297
227 0.452 0.4223 0.4301
228 0.4443 0.4127 0.4295
229 0.4508 0.4082 0.438
230 0.4424 0.4137 0.4395
231 0.4417 0.4134 0.4337
232 0.4445 0.411 0.4317
233 0.4466 0.4152 0.4324
234 0.4375 0.4158 0.4365
235 0.4386 0.411 0.4353
236 0.4394 0.4106 0.4321
237 0.4425 0.4121 0.429
238 0.4424 0.4124 0.4341
239 0.4435 0.411 0.429
240 0.4316 0.4146 0.4347
241 0.4427 0.4163 0.4359
242 0.4484 0.4113 0.4339
243 0.4389 0.4139 0.4316
244 0.4402 0.4107 0.4333
245 0.4414 0.4121 0.4345
246 0.4406 0.4186 0.438
247 0.4422 0.4131 0.4321
248 0.4363 0.4114 0.4363
249 0.4446 0.4109 0.4308
250 0.4372 0.4067 0.4341
251 0.4404 0.4129 0.432
252 0.4433 0.4095 0.4303
253 0.4385 0.4098 0.4365
254 0.4324 0.4125 0.4339
255 0.4393 0.4116 0.4384
256 0.4339 0.4137 0.4373
257 0.4414 0.4107 0.437
258 0.4373 0.4122 0.4418
259 0.4407 0.4114 0.4374
260 0.4364 0.412 0.4346
261 0.4439 0.4141 0.4336
262 0.4346 0.4111 0.4348
263 0.4365 0.4136 0.4347
264 0.4398 0.411 0.4398
265 0.4346 0.4109 0.4289
266 0.4372 0.4091 0.4296
267 0.4382 0.4078 0.4429
268 0.4332 0.4097 0.4364
269 0.4373 0.4085 0.4306
270 0.4384 0.4124 0.4306
271 0.4334 0.4126 0.4339
272 0.4342 0.4099 0.4377
273 0.4278 0.4093 0.4412
274 0.432 0.4047 0.4376
275 0.4405 0.407 0.4326
276 0.4372 0.4142 0.4333
277 0.4315 0.4083 0.4359
278 0.4365 0.408 0.4284
279 0.4336 0.4107 0.4373
280 0.4347 0.4119 0.4324
281 0.4329 0.4073 0.4334
282 0.4401 0.4069 0.4317
283 0.4322 0.4121 0.4289
284 0.4345 0.4109 0.4332
285 0.4348 0.4077 0.4364
286 0.4335 0.4097 0.4375
287 0.4277 0.4076 0.4283
288 0.4335 0.4134 0.4406
289 0.4319 0.4067 0.4345
290 0.4327 0.4068 0.437
291 0.4317 0.4084 0.4393
292 0.4351 0.4085 0.4264
293 0.4348 0.4094 0.4307
294 0.4307 0.4055 0.4332
295 0.4271 0.4028 0.4306
296 0.4378 0.4084 0.4359
297 0.4312 0.4112 0.4264
298 0.4296 0.4111 0.4396
299 0.4303 0.4132 0.4344
300 0.4317 0.4096 0.4336
301 0.4281 0.4137 0.4257
302 0.4276 0.4067 0.4351
303 0.4338 0.4082 0.4345
304 0.4339 0.4132 0.4305
305 0.4298 0.4121 0.4392
306 0.4296 0.4078 0.4384
