,1% Greedy,5 %Greedy,Bayes By BackProp,Greedy
276,615,670,850,645
277,615,670,855,645
278,615,670,855,645
279,615,670,855,645
280,620,670,855,650
281,620,670,890,650
282,620,670,885,650
283,620,670,885,685
284,625,670,885,685
285,625,670,885,685
286,625,670,890,685
287,625,670,890,685
288,625,670,890,685
289,625,670,890,685
290,625,670,890,685
291,625,670,890,685
292,625,670,895,685
293,625,670,895,685
294,625,670,895,685
295,625,670,895,685
296,625,670,895,685
297,625,670,890,685
298,625,670,890,685
299,625,670,890,685
300,625,670,890,685
301,630,670,895,690
302,635,670,895,690
303,635,670,900,690
304,635,670,900,690
305,640,670,905,690
306,640,670,900,690
307,640,670,900,690
308,640,670,905,690
309,645,675,910,690
310,645,675,910,690
311,645,675,910,690
312,645,675,915,690
313,645,675,915,690
314,645,675,915,690
315,645,675,915,690
316,645,675,915,690
317,645,675,915,690
318,645,675,915,690
319,645,675,915,690
320,645,675,915,690
321,645,675,920,690
322,645,675,925,690
323,650,675,930,690
324,650,675,965,690
325,650,675,965,690
326,650,675,1000,690
327,650,675,1035,690
328,650,675,1035,690
329,650,675,1035,690
330,650,675,1035,690
331,650,675,1035,690
332,650,680,1035,690
333,655,680,1035,690
334,655,680,1030,690
335,655,680,1035,690
336,660,680,1035,690
337,660,680,1035,690
338,660,680,1040,690
339,660,680,1040,690
340,660,680,1040,690
341,660,680,1040,690
342,665,680,1045,695
343,670,680,1045,695
344,675,680,1050,695
345,680,680,1055,695
346,680,680,1055,695
347,680,680,1055,695
348,680,680,1055,695
349,680,680,1055,695
350,685,680,1055,695
351,685,680,1055,695
352,685,680,1060,695
353,690,680,1060,695
354,690,680,1060,695
355,690,680,1060,695
356,695,680,1065,695
357,695,680,1070,695
358,700,680,1075,695
359,700,680,1075,695
360,700,680,1080,695
361,700,680,1080,695
362,700,680,1080,695
363,700,680,1080,695
364,700,680,1085,695
365,705,680,1085,695
366,710,680,1090,695
367,715,680,1095,695
368,720,680,1095,695
369,720,680,1095,695
370,720,680,1090,695
371,720,680,1090,695
372,720,680,1085,695
373,720,680,1080,695
374,720,680,1080,695
375,720,680,1085,695
376,720,680,1085,695
377,720,680,1085,695
378,755,680,1085,695
379,755,680,1085,695
380,755,680,1085,695
381,755,680,1085,695
382,755,680,1085,695
383,755,680,1085,695
384,755,680,1090,695
385,755,680,1095,695
386,755,680,1095,695
387,755,680,1095,695
388,755,680,1095,695
389,755,680,1095,695
390,755,680,1095,695
391,755,680,1095,695
392,755,680,1095,695
393,755,680,1100,695
394,755,680,1100,695
395,755,680,1135,695
396,755,680,1170,695
397,755,680,1170,700
398,755,680,1170,700
399,755,680,1170,700
400,755,680,1170,700
401,755,680,1170,700
402,755,680,1170,700
403,755,680,1170,700
404,755,680,1170,700
405,755,680,1170,700
406,755,680,1170,700
407,755,680,1170,700
408,755,680,1170,700
409,755,680,1170,700
410,755,680,1175,700
411,755,715,1175,700
412,755,715,1175,700
413,755,715,1175,700
414,790,715,1175,700
415,790,715,1180,700
416,790,715,1180,700
417,790,715,1180,700
418,790,715,1180,700
419,790,715,1180,700
420,790,715,1185,700
421,790,720,1185,700
422,790,720,1185,700
423,790,720,1185,700
424,790,720,1190,700
425,790,720,1190,700
426,790,720,1190,700
427,790,720,1190,700
428,790,720,1195,700
429,790,720,1195,700
430,790,720,1200,700
431,790,720,1200,700
432,790,720,1195,735
433,790,720,1190,770
434,790,720,1190,770
435,790,720,1190,770
436,790,720,1190,770
437,790,720,1190,770
